,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Възобновяване на сесията,"ПОД ПРЕДСЕДАТЕЛСТВОТО НА: г-н BUZEK Председател (Заседанието се открива в 17,35 ч.)",ПОД ПРЕДСЕДАТЕЛСТВОТО НА: г-н BUZEK,2,14,not_available,"['bul', 'bul']","['ПОД ПРЕДСЕДАТЕЛСТВОТО НА: г-н BUZEK Председател', ' (Заседанието се открива в 17,35 ч.)']"
1, 1. Възобновяване на сесията,"  Председател.   – Възобновявам сесията на Европейския парламент, прекъсната в сряда, 7 април 2010 г.",Председател.,1,13,not_available,['bul'],"['  Председател.   – Възобновявам сесията на Европейския парламент, прекъсната в сряда, 7 април 2010 г.']"
2, 8. Борба срещу рака на гърдата в Европейския съюз (писмена декларация): вж. протокола,"  Председател.   – Писмена декларация 0071/2009, внесена от членовете на Парламента Elizabeth Lynne, Michail Tremopoulos, Lívia Járóka и Lidia Joanna Geringer de Oedenberg, относно борбата срещу рака на гърдата в Европейския съюз, е подписана от мнозинството от членовете на Парламента. Следователно, в съответствие с член 123 от Правилника за дейността, тя ще бъде предадена на съответните адресати и ще бъде публикувана заедно с други текстове, приети на пленарното заседание от 24 февруари 2010 г. Имената на подписалите я лица ще бъдат публикувани в протокола от заседанието. ",Председател.,1,85,not_available,['bul'],"['  Председател.   – Писмена декларация 0071/2009, внесена от членовете на Парламента Elizabeth Lynne, Michail Tremopoulos, Lívia Járóka и Lidia Joanna Geringer de Oedenberg, относно борбата срещу рака на гърдата в Европейския съюз, е подписана от мнозинството от членовете на Парламента. Следователно, в съответствие с член 123 от Правилника за дейността, тя ще бъде предадена на съответните адресати и ще бъде публикувана заедно с други текстове, приети на пленарното заседание от 24 февруари 2010 г. Имената на подписалите я лица ще бъдат публикувани в протокола от заседанието. ']"
3, 8. Борба срещу рака на гърдата в Европейския съюз (писмена декларация): вж. протокола,"  Elizabeth Lynne  (ALDE).   – (EN) Г-н председател, бих искала само да благодаря на всички за подписването на Писмена декларация 71 относно рака на гърдата.Повечето от вас знаят, че това е водещата причина за смъртността на жени между 35 и 59-годишна възраст в ЕС и нашето желание е държавите-членки, наред с другото, да въведат скринингови програми на национално равнище и да открият специализирани отделения за рак на гърдата.Надявам се, че подписването на писмената декларация ще отбележи още една крачка към осигуряването на дейност на равнището на ЕС за възпиране на отрицателните последици от рака на гърдата. ",Elizabeth Lynne  (ALDE).,3,99,not_available,"['eng', 'eng', 'eng']","['  Elizabeth Lynne  (ALDE).   – (EN) Г-н председател, бих искала само да благодаря на всички за подписването на Писмена декларация 71 относно рака на гърдата.', 'Повечето от вас знаят, че това е водещата причина за смъртността на жени между 35 и 59-годишна възраст в ЕС и нашето желание е държавите-членки, наред с другото, да въведат скринингови програми на национално равнище и да открият специализирани отделения за рак на гърдата.', 'Надявам се, че подписването на писмената декларация ще отбележи още една крачка към осигуряването на дейност на равнището на ЕС за възпиране на отрицателните последици от рака на гърдата. ']"
4, 8. Борба срещу рака на гърдата в Европейския съюз (писмена декларация): вж. протокола,"  Председател.   – Бих искал да благодаря на нашите колеги и на всички вас, които сте подписали тази декларация. ",Председател.,1,17,not_available,['bul'],"['  Председател.   – Бих искал да благодаря на нашите колеги и на всички вас, които сте подписали тази декларация. ']"
5, 13. Изявления на председателя,"  Председател.   – Преди да започнем заседанието, бих искал да кажа, че днес нашите мисли и молитви са насочени към семействата и приятелите на загиналите и ранените в железопътната катастрофа от миналата седмица в Северна Италия. Както всички си спомняме, това беше много тежка железопътна катастрофа.Бих искал също така да благодаря на всички вас, членовете и служителите на Парламента, на много хора от Парламента, за участието и организацията на церемонията, която се състоя миналата сряда от 12 ч. във връзка с катастрофата на полския самолет. Вчера беше погребението на президента на Полша, а днес – погребението на президента на Полша в изгнание. Миналата сряда почетохме с едноминутно мълчание паметта на жертвите на катастрофата.Бих искал отново да ви благодаря за този акт на солидарност. ",Председател.,3,122,not_available,"['bul', 'bul', 'bul']","['  Председател.   – Преди да започнем заседанието, бих искал да кажа, че днес нашите мисли и молитви са насочени към семействата и приятелите на загиналите и ранените в железопътната катастрофа от миналата седмица в Северна Италия. Както всички си спомняме, това беше много тежка железопътна катастрофа.', 'Бих искал също така да благодаря на всички вас, членовете и служителите на Парламента, на много хора от Парламента, за участието и организацията на церемонията, която се състоя миналата сряда от 12 ч. във връзка с катастрофата на полския самолет. Вчера беше погребението на президента на Полша, а днес – погребението на президента на Полша в изгнание. Миналата сряда почетохме с едноминутно мълчание паметта на жертвите на катастрофата.', 'Бих искал отново да ви благодаря за този акт на солидарност. ']"
6, 13. Изявления на председателя,"  Herbert Dorfmann  (PPE).   – (DE) Г-н председател, госпожи и господа, бих искал да Ви благодаря най-сърдечно, г-н председател, за съпричастието, което изразихте към жертвите на катастрофата, която се случи в моя регион и в моята страна, в автономната провинция Бозен в Южен Тирол миналата седмица. Хората в моя регион наистина са изключително шокирани от тази катастрофа, която отне живота на девет души, повечето млади хора, и в която имаше много ранени. Тя е още по-шокираща и затова, че се случи не с някой стар влак, а с този влак, който е гордостта на нашия регион; железопътната линия също е нова, открита едва преди няколко години. Катастрофата не се дължеше и на техническа грешка. Тя чисто и просто е резултат от свличане на земни маси, каквото понякога се случва в планински региони като Алпите.Благодаря Ви много, г-н председател. Ще предам Вашите думи на съпричастие на жертвите и на хората от моята страна.(Ръкопляскания)",Herbert Dorfmann  (PPE).,3,157,not_available,"['ger', 'ger', 'ger']","['  Herbert Dorfmann  (PPE).   – (DE) Г-н председател, госпожи и господа, бих искал да Ви благодаря най-сърдечно, г-н председател, за съпричастието, което изразихте към жертвите на катастрофата, която се случи в моя регион и в моята страна, в автономната провинция Бозен в Южен Тирол миналата седмица. Хората в моя регион наистина са изключително шокирани от тази катастрофа, която отне живота на девет души, повечето млади хора, и в която имаше много ранени. Тя е още по-шокираща и затова, че се случи не с някой стар влак, а с този влак, който е гордостта на нашия регион; железопътната линия също е нова, открита едва преди няколко години. Катастрофата не се дължеше и на техническа грешка. Тя чисто и просто е резултат от свличане на земни маси, каквото понякога се случва в планински региони като Алпите.', 'Благодаря Ви много, г-н председател. Ще предам Вашите думи на съпричастие на жертвите и на хората от моята страна.', '(Ръкопляскания)']"
7, 13. Изявления на председателя,"  Председател.   – Бих искал да благодаря на всички, които днес присъстват в Парламента, тъй като преодоляхме много сериозни транспортни проблеми, за да стигнем до Страсбург. Не всички успяха да дойдат. Преди няколко минути приключи извънредно заседание на Председателския съвет. Председателите на политическите групи имат конкретни предложения за вас, приети и подкрепени от председателите на всички политически групи. По същество предложенията се отнасят до това, да не провеждаме пленарно заседание в четвъртък, така че няма да има ред на работа за четвъртък. В четвъртък и в петък обаче членовете на Парламента ще могат да подпишат присъствените списъци и да работят както обикновено. Няма да има пленарно заседание и ред на работа, но разбира се, наше задължение е да работим и колегите, които се подпишат в присъствените списъци в четвъртък и в петък, ще бъдат третирани както обикновено, както винаги в четвъртъците и петъците.Бих искал също така да подчертая, че тази седмица няма да има гласувания на пленарни заседания или в комисии, ако се провеждат заседания на комисии. Заседания на комисии може да се провеждат, дори в четвъртък, но без гласувания. Така решихме. Причината за това е, че не всички наши колеги успяха физически да пристигнат тук и не можем да ги лишим от правото да участват в тази месечна сесия. Така че това няма нищо общо с кворума, тъй като вероятно кворум ще има, а с факта, че не всички са имали възможност да дойдат на месечната сесия. Отсрочването на гласуване не е сериозно от правна гледна точка с оглед на нашите задължения пред Съвета. Гласуванията са важни, така че ние ги отлагаме с две седмици и ще ги проведем през майската месечна сесия в Брюксел. От гледна точка на нашата работа със Съвета на министрите, с оглед на споразуменията и при второ четене, това е възможно.Искам също да кажа, че е налице сериозно основание онези от нас, които сме тук, да се срещнем и да обсъждаме, тъй като за утре има извънредна точка, която не бяхме предвидили. Тази точка, по която ще разискваме утре сутринта, е свързана с транспортната ситуация в Европа в момента и нейните последици за европейските граждани. Искаме утре в рамките на двучасово разискване, на което ще присъства председателят на Комисията, г-н Барозу, да обсъдим положението в Европа, тъй като мобилността е възпрепятствана, авиокомпаниите са застрашени и съществува опасност от безработица на места, където има големи летища и където европейски авиокомпании могат да рухнат, ако нямат възможност да обслужват пътници в продължение на много дни. Това следователно е сериозна заплаха за всички европейски граждани и затова утрешното разискване е от ключово значение. Тази точка в дневния ред не беше съгласувана предварително; тя е напълно нова и е добавена в резултат на необходимостта да се обсъди сериозно трудното положение в Европейския съюз. Останалите точки ще бъдат разисквани, с изключение на някои от планираните за четвъртък.Бих искал също така да ви съобщя, че на 7 април тази година получих писмо от члена на ЕП г-н Farage. В своето писмо съпредседателят на групата „Европа на свободата и демокрацията“ се позовава на член 6, параграф 3 от Правилника за дейността и прави официално оплакване във връзка с нарушаване на протокола за привилегиите и имунитетите в Европейския съюз. Предадох съдържащото се в писмото на г-н Farage искане на компетентната комисия за разглеждане. ",Председател.,4,545,not_available,"['bul', 'bul', 'bul', 'bul']","['  Председател.   – Бих искал да благодаря на всички, които днес присъстват в Парламента, тъй като преодоляхме много сериозни транспортни проблеми, за да стигнем до Страсбург. Не всички успяха да дойдат. Преди няколко минути приключи извънредно заседание на Председателския съвет. Председателите на политическите групи имат конкретни предложения за вас, приети и подкрепени от председателите на всички политически групи. По същество предложенията се отнасят до това, да не провеждаме пленарно заседание в четвъртък, така че няма да има ред на работа за четвъртък. В четвъртък и в петък обаче членовете на Парламента ще могат да подпишат присъствените списъци и да работят както обикновено. Няма да има пленарно заседание и ред на работа, но разбира се, наше задължение е да работим и колегите, които се подпишат в присъствените списъци в четвъртък и в петък, ще бъдат третирани както обикновено, както винаги в четвъртъците и петъците.', 'Бих искал също така да подчертая, че тази седмица няма да има гласувания на пленарни заседания или в комисии, ако се провеждат заседания на комисии. Заседания на комисии може да се провеждат, дори в четвъртък, но без гласувания. Така решихме. Причината за това е, че не всички наши колеги успяха физически да пристигнат тук и не можем да ги лишим от правото да участват в тази месечна сесия. Така че това няма нищо общо с кворума, тъй като вероятно кворум ще има, а с факта, че не всички са имали възможност да дойдат на месечната сесия. Отсрочването на гласуване не е сериозно от правна гледна точка с оглед на нашите задължения пред Съвета. Гласуванията са важни, така че ние ги отлагаме с две седмици и ще ги проведем през майската месечна сесия в Брюксел. От гледна точка на нашата работа със Съвета на министрите, с оглед на споразуменията и при второ четене, това е възможно.', 'Искам също да кажа, че е налице сериозно основание онези от нас, които сме тук, да се срещнем и да обсъждаме, тъй като за утре има извънредна точка, която не бяхме предвидили. Тази точка, по която ще разискваме утре сутринта, е свързана с транспортната ситуация в Европа в момента и нейните последици за европейските граждани. Искаме утре в рамките на двучасово разискване, на което ще присъства председателят на Комисията, г-н Барозу, да обсъдим положението в Европа, тъй като мобилността е възпрепятствана, авиокомпаниите са застрашени и съществува опасност от безработица на места, където има големи летища и където европейски авиокомпании могат да рухнат, ако нямат възможност да обслужват пътници в продължение на много дни. Това следователно е сериозна заплаха за всички европейски граждани и затова утрешното разискване е от ключово значение. Тази точка в дневния ред не беше съгласувана предварително; тя е напълно нова и е добавена в резултат на необходимостта да се обсъди сериозно трудното положение в Европейския съюз. Останалите точки ще бъдат разисквани, с изключение на някои от планираните за четвъртък.', 'Бих искал също така да ви съобщя, че на 7 април тази година получих писмо от члена на ЕП г-н Farage. В своето писмо съпредседателят на групата „Европа на свободата и демокрацията“ се позовава на член 6, параграф 3 от Правилника за дейността и прави официално оплакване във връзка с нарушаване на протокола за привилегиите и имунитетите в Европейския съюз. Предадох съдържащото се в писмото на г-н Farage искане на компетентната комисия за разглеждане. ']"
8, 14. Ред на работа,"  Председател.   – Окончателният проект на дневен ред, изготвен от Председателския съвет на неговото заседание от 19 април 2010 г., понеделник, съгласно член 137 от Правилника за дейността, е раздаден. Предложени са следните промени:(Първа част от промените: вж. предходната точка) ",Председател.,2,39,not_available,"['bul', 'bul']","['  Председател.   – Окончателният проект на дневен ред, изготвен от Председателския съвет на неговото заседание от 19 април 2010 г., понеделник, съгласно член 137 от Правилника за дейността, е раздаден. Предложени са следните промени:', '(Първа част от промените: вж. предходната точка) ']"
9, 14. Ред на работа,"  Jörg Leichtfried  (S&D).   – (DE) Г-н председател, бих искал да повдигна един процедурен въпрос за Ваше сведение. Много мило от Ваша страна, че ни приветствате за присъствието ни тук днес. Макар и да е трудно, това ни е работата. Няма нищо особено в това. Бих искал само да препоръчам за следващия път да улесните малко тази наша работа, като ни предоставяте информация по-бързо и отговаряте на нашите имейли, така че да знаем какво става. Тогава онези, които не са тук днес, може би също ще могат да дойдат.(Ръкопляскания)",Jörg Leichtfried  (S&D).,2,91,not_available,"['ger', 'ger']","['  Jörg Leichtfried  (S&D).   – (DE) Г-н председател, бих искал да повдигна един процедурен въпрос за Ваше сведение. Много мило от Ваша страна, че ни приветствате за присъствието ни тук днес. Макар и да е трудно, това ни е работата. Няма нищо особено в това. Бих искал само да препоръчам за следващия път да улесните малко тази наша работа, като ни предоставяте информация по-бързо и отговаряте на нашите имейли, така че да знаем какво става. Тогава онези, които не са тук днес, може би също ще могат да дойдат.', '(Ръкопляскания)']"
