,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Opening of the sitting,IN THE CHAIR: MR BUZEK President,IN THE CHAIR: MR BUZEK,1,6,not_available,['eng'],['IN THE CHAIR: MR BUZEK President']
1, 5. Freedom of information in Italy (debate) ,  President.   – The next item is the Commission statement on freedom of information in Italy. ,President.,1,14,not_available,['eng'],['  President.   – The next item is the Commission statement on freedom of information in Italy. ']
2, 5. Freedom of information in Italy (debate) ,"  Viviane Reding,  Member of the Commission. − Mr President, freedom of expression and freedom of information represent a foundation of a free, democratic and pluralistic society. That is my firm belief as a former journalist and it is also the firm belief of the European Union. That is why all the EU institutions – Parliament, the Council and the Commission – have signed up to the EU Charter of Fundamental Rights, Article 11 of which states that: ‘Everyone has the right to freedom of expression. This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authority and regardless of frontiers. The freedom and pluralism of the media shall be respected.’I would like to recall that the EU Charter also states, in Article 51(1), where and when those fundamental rights apply. I quote again: ‘The provisions of this charter are addressed to the institutions, bodies, offices and agencies of the Union with due regard for the principle of subsidiarity and to the Member States’, but ‘only when they are implementing Union law’.Within the EU’s sphere of competence, which we have to respect, the European Commission has always stood up for freedom of the media, freedom of expression, freedom of information and freedom of the press, whether within the EU or in our external relations with third countries. I recall, in particular, the important role played by the EU’s ‘Television without Frontiers’ Directive which, since 1989, has made sure that citizens in all EU Member States are free to receive, without restrictions, broadcasts from other EU countries; an EU directive which has substantially contributed to the free flow of information across borders and to a more pluralistic media landscape in all Member States. In this context, I would like to thank the European Parliament for having helped the Commission to get a modernised version of this directive which extends the freedom of information across borders, beyond broadcasting, to other audiovisual services and, particularly, those transmitted by Internet.This directive needs to be implemented by all EU Member States by the end of the year and will make important contributions to a pluralistic landscape when it also comes to the online environment. Let me also recall three other very important elements of this directive.Firstly, the promotion of independent TV productions. There is a rule in the directive that broadcasters need to reserve at least 10% of their transmission time or 10% of their programming budget to European works created by producers who are independent from the broadcasters.Secondly, the directive foresees in its modernised version the right of journalists and news organisations to access short extracts across the EU for the purpose of short reporting.Thirdly, and this is of utmost importance, there is a reference in the new directive to the need to have independent media authorities at national level. This is a reference which was proposed by the Commission and which could only be adopted in the end thanks to strong support by the European Parliament. Thus, for the broadcasting sector, the modernised Television Without Frontiers Directive can be seen as a charter for freedom of cross-border information in the EU.Now let me recall another important aspect in the EU’s field of competence where this institution can act and has acted for the benefit of media pluralism. I mean radio spectrum policy. You all know that there cannot be broadcasting without access to radio spectrum, and it is the EU policy to ensure that all players on the market get non-discriminatory access to radio spectrum. National authorities are thus not entitled to freeze, by means of spectrum allocation, the competitive situation on the media market for the benefit of the operators already active on that market. The European Court of Justice, by the way, has confirmed this important principle, which directly results from the freedom to provide services, in its Centro Europa judgment. The Commission welcomed that ruling as a contribution to fair competition and as an important foundation for strengthening media pluralism. On that basis, the Commission has repeatedly acted against Member States where the system of spectrum management has appeared to be in contradiction with this principle.By way of example, I would like to recall the 2006 infringement proceedings on radio spectrum allocation in Italy, which my colleague Neelie Kroes and I opened. Under the pressure of this procedure, the Italian authorities are now changing their approach. The result of this will be a substantial market opening and a win for media pluralism. Spectrum policy is therefore a clear example of an area where the EU can act within its field of competences in order to enhance competition for the resources on which broadcasters depend, and thereby strengthen media pluralism.Concerning the written press, the competences of the EU are substantially more limited. The written press is one of those prime examples of national, or even regional, competences and its situation very often reflects the varying cultural traditions in our different Member States. There is thus no EU legislation specifically on the written press, nor can there be legislation under the treaties as they stand. Nevertheless, in the EU institutions and, in particular, the European Commission, we have always flanked the development of the written press across the EU. I recall that in my capacity as EU Media Commissioner, I had numerous meetings with editors-in-chief from all around Europe to discuss the current issues relating to media freedom and media pluralism.In June 2009, this led to the European Charter on Freedom of the Press, drafted by journalists across Europe. I fully endorsed that charter when the final outcome of this work was handed over to me. The Charter on the Freedom of the Press initiated by the European journalist community is an important reaffirmation of the basic values enshrined in fundamental legal texts such as the EU Charter of Fundamental Rights. It is also a reminder for all policymakers in their field of competence that, in order to have effective freedom of the press, public authorities do indeed have a role to play: they must be ready to protect freedom of expression and foster its development. The charter is therefore an important step towards reinforcing these basic values and rights, allowing journalists to invoke them against governments or against political public authorities whenever they feel that the freedom of their work is unjustifiably threatened.The honourable Members will see that strong political commitment is being shown by the EU’s institutions, and particularly by the Commission, to fundamental rights and freedom of information, of expression and of the media. We are using our competences to uphold those rights and freedoms in our work, on the basis of the Treaties, and will continue to do so.However, let me also touch on another important aspect, namely the fact that fundamental rights apply to EU policies does not make the EU competent for all matters relating to fundamental rights in one Member State or another. Let us not forget that the Member States have constitutions, many of them with long traditions, and that in all Member States, there are courts, appeal courts and constitutional courts which ensure that fundamental rights are respected and enforced whenever national authorities act. We had an example of this as recently as yesterday in Italy.This is the result of the fact that we have a division of labour, because Europe is not a superstate, but is comprised of 27 sovereign Member States and will continue to operate like this under the new Lisbon Treaty too.I would therefore call on you not to make use of the EU institutions to solve problems which should, under our Treaties, be solved at national level. We should not claim a role that we do not have, and we will not have it under the Lisbon Treaty either. Let us concentrate here on applying effectively the rules, principles, rights and freedoms in areas where the EU is competent. This can lead to very important progress, and I have mentioned several concrete examples of this in my speech.Let me add another example of where we could act. Paul Rübig, a Member of this House, recently proposed in a budgetary amendment a new EU programme called Erasmus for Journalists. Such a programme would, in difficult times for the written press, allow journalists to work for a limited time with editorial staff in other Member States. It would also allow journalists to discover the political, economic and social situation in other Member States and to write about it. It would allow journalists to compare the situation across Europe and to present that to the readers, including the situation with regard to freedom of the press. That is why I encourage the European Parliament to look very favourably on these proposals, which certainly have the support of the EU Media Commissioner. ","Viviane Reding,",16,1490,not_available,"['eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","['  Viviane Reding,  Member of the Commission. − Mr President, freedom of expression and freedom of information represent a foundation of a free, democratic and pluralistic society. That is my firm belief as a former journalist and it is also the firm belief of the European Union. That is why all the EU institutions – Parliament, the Council and the Commission – have signed up to the EU Charter of Fundamental Rights, Article 11 of which states that: ‘Everyone has the right to freedom of expression. This right shall include freedom to hold opinions and to receive and impart information and ideas without interference by public authority and regardless of frontiers. The freedom and pluralism of the media shall be respected.’', 'I would like to recall that the EU Charter also states, in Article 51(1), where and when those fundamental rights apply. I quote again: ‘The provisions of this charter are addressed to the institutions, bodies, offices and agencies of the Union with due regard for the principle of subsidiarity and to the Member States’, but ‘only when they are implementing Union law’.', 'Within the EU’s sphere of competence, which we have to respect, the European Commission has always stood up for freedom of the media, freedom of expression, freedom of information and freedom of the press, whether within the EU or in our external relations with third countries. I recall, in particular, the important role played by the EU’s ‘Television without Frontiers’ Directive which, since 1989, has made sure that citizens in all EU Member States are free to receive, without restrictions, broadcasts from other EU countries; an EU directive which has substantially contributed to the free flow of information across borders and to a more pluralistic media landscape in all Member States. In this context, I would like to thank the European Parliament for having helped the Commission to get a modernised version of this directive which extends the freedom of information across borders, beyond broadcasting, to other audiovisual services and, particularly, those transmitted by Internet.', 'This directive needs to be implemented by all EU Member States by the end of the year and will make important contributions to a pluralistic landscape when it also comes to the online environment. Let me also recall three other very important elements of this directive.', 'Firstly, the promotion of independent TV productions. There is a rule in the directive that broadcasters need to reserve at least 10% of their transmission time or 10% of their programming budget to European works created by producers who are independent from the broadcasters.', 'Secondly, the directive foresees in its modernised version the right of journalists and news organisations to access short extracts across the EU for the purpose of short reporting.', 'Thirdly, and this is of utmost importance, there is a reference in the new directive to the need to have independent media authorities at national level. This is a reference which was proposed by the Commission and which could only be adopted in the end thanks to strong support by the European Parliament. Thus, for the broadcasting sector, the modernised Television Without Frontiers Directive can be seen as a charter for freedom of cross-border information in the EU.', 'Now let me recall another important aspect in the EU’s field of competence where this institution can act and has acted for the benefit of media pluralism. I mean radio spectrum policy. You all know that there cannot be broadcasting without access to radio spectrum, and it is the EU policy to ensure that all players on the market get non-discriminatory access to radio spectrum. National authorities are thus not entitled to freeze, by means of spectrum allocation, the competitive situation on the media market for the benefit of the operators already active on that market. The European Court of Justice, by the way, has confirmed this important principle, which directly results from the freedom to provide services, in its Centro Europa judgment. The Commission welcomed that ruling as a contribution to fair competition and as an important foundation for strengthening media pluralism. On that basis, the Commission has repeatedly acted against Member States where the system of spectrum management has appeared to be in contradiction with this principle.', 'By way of example, I would like to recall the 2006 infringement proceedings on radio spectrum allocation in Italy, which my colleague Neelie Kroes and I opened. Under the pressure of this procedure, the Italian authorities are now changing their approach. The result of this will be a substantial market opening and a win for media pluralism. Spectrum policy is therefore a clear example of an area where the EU can act within its field of competences in order to enhance competition for the resources on which broadcasters depend, and thereby strengthen media pluralism.', 'Concerning the written press, the competences of the EU are substantially more limited. The written press is one of those prime examples of national, or even regional, competences and its situation very often reflects the varying cultural traditions in our different Member States. There is thus no EU legislation specifically on the written press, nor can there be legislation under the treaties as they stand. Nevertheless, in the EU institutions and, in particular, the European Commission, we have always flanked the development of the written press across the EU. I recall that in my capacity as EU Media Commissioner, I had numerous meetings with editors-in-chief from all around Europe to discuss the current issues relating to media freedom and media pluralism.', 'In June 2009, this led to the European Charter on Freedom of the Press, drafted by journalists across Europe. I fully endorsed that charter when the final outcome of this work was handed over to me. The Charter on the Freedom of the Press initiated by the European journalist community is an important reaffirmation of the basic values enshrined in fundamental legal texts such as the EU Charter of Fundamental Rights. It is also a reminder for all policymakers in their field of competence that, in order to have effective freedom of the press, public authorities do indeed have a role to play: they must be ready to protect freedom of expression and foster its development. The charter is therefore an important step towards reinforcing these basic values and rights, allowing journalists to invoke them against governments or against political public authorities whenever they feel that the freedom of their work is unjustifiably threatened.', 'The honourable Members will see that strong political commitment is being shown by the EU’s institutions, and particularly by the Commission, to fundamental rights and freedom of information, of expression and of the media. We are using our competences to uphold those rights and freedoms in our work, on the basis of the Treaties, and will continue to do so.', 'However, let me also touch on another important aspect, namely the fact that fundamental rights apply to EU policies does not make the EU competent for all matters relating to fundamental rights in one Member State or another. Let us not forget that the Member States have constitutions, many of them with long traditions, and that in all Member States, there are courts, appeal courts and constitutional courts which ensure that fundamental rights are respected and enforced whenever national authorities act. We had an example of this as recently as yesterday in Italy.', 'This is the result of the fact that we have a division of labour, because Europe is not a superstate, but is comprised of 27 sovereign Member States and will continue to operate like this under the new Lisbon Treaty too.', 'I would therefore call on you not to make use of the EU institutions to solve problems which should, under our Treaties, be solved at national level. We should not claim a role that we do not have, and we will not have it under the Lisbon Treaty either. Let us concentrate here on applying effectively the rules, principles, rights and freedoms in areas where the EU is competent. This can lead to very important progress, and I have mentioned several concrete examples of this in my speech.', 'Let me add another example of where we could act. Paul Rübig, a Member of this House, recently proposed in a budgetary amendment a new EU programme called Erasmus for Journalists. Such a programme would, in difficult times for the written press, allow journalists to work for a limited time with editorial staff in other Member States. It would also allow journalists to discover the political, economic and social situation in other Member States and to write about it. It would allow journalists to compare the situation across Europe and to present that to the readers, including the situation with regard to freedom of the press. That is why I encourage the European Parliament to look very favourably on these proposals, which certainly have the support of the EU Media Commissioner. ']"
3, 5. Freedom of information in Italy (debate) ,"  Joseph Daul,  on behalf of the PPE Group. – (FR) Mr President, Presidents, ladies and gentlemen, if I have asked to take the floor on behalf of the Group of the European People’s Party (Christian Democrats) in this debate on freedom of the press in Italy, it is first and foremost to denounce the unfortunate use of this European Parliament to debate national issues. It is also to denounce an unfair and dishonest attack on the government of a European Member State in which the rule of law is applied as rigorously as it is in the rest of Europe.On the first point, I will refer to the President of the Italian Republic, who I already quoted yesterday and who voiced his opinion last week: ‘The European Parliament’ – I quote – ‘cannot be a sounding board for the political conflicts and controversies that are a matter of course within the Member States and their national parliaments.’ I quote the President of the Italian Republic further: ‘Nor can the European Parliament be a kind of court of appeal that rules on the decisions of the national parliaments or on the behaviour of the national governments.’ I do not mean to offend President Napolitano, who is a friend, when I say that he does not toe the same political line as Prime Minister Berlusconi or myself or the group that I represent.(Exclamation by Mr Schulz)Please respect my freedom of speech, Mr Schulz! This morning, I would like respect to be shown for freedom of speech and freedom of the press alike!(Interruption by Mr Schulz)We know who the troublemakers are. It does not bother me. I am not annoyed. Mr President. All I am asking is that you let me speak. This is not the way to have a debate.However, these words express, in no uncertain terms, the respect that should be shown for our democratic institutions, be they national or European. The fact is, the debate that we are holding this morning has absolutely nothing to do with the reason why the European Parliament exists. Indeed, what is it about? Are Italian politicians prevented from organising a debate on freedom of the press or on any other subject in their own national parliaments? I think not. Are Italian citizens prevented from voicing their disapproval of any given law? No. Are the Italian courts prevented from enforcing the law? No, as we have clearly seen. Is the European Court of Justice incapable of punishing an Italian law that is at odds with the European treaties? No. The answer to all of these questions is clearly no.Under these circumstances, the debate that has been organised in this House is nothing other than a petty political and partisan scheme to upset a political opponent. No matter what some of our fellow Members may claim, the Italian Republic functions as it should in Europe, democratically and in accordance with the rule of law. To claim the opposite is to ignore the reality of matters; no one is fooled by that.The role of the European Parliament, ladies and gentlemen, is not to become a chamber for settling the scores of national political rivals. This Chamber is not the right place for trying to undermine the credibility of a government which, I would add, is politically accountable to its own citizens. This is why we have elections. Thank you for your attention. ","Joseph Daul,",9,571,not_available,"['fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra']","['  Joseph Daul,  on behalf of the PPE Group. – (FR) Mr President, Presidents, ladies and gentlemen, if I have asked to take the floor on behalf of the Group of the European People’s Party (Christian Democrats) in this debate on freedom of the press in Italy, it is first and foremost to denounce the unfortunate use of this European Parliament to debate national issues. It is also to denounce an unfair and dishonest attack on the government of a European Member State in which the rule of law is applied as rigorously as it is in the rest of Europe.', 'On the first point, I will refer to the President of the Italian Republic, who I already quoted yesterday and who voiced his opinion last week: ‘The European Parliament’ – I quote – ‘cannot be a sounding board for the political conflicts and controversies that are a matter of course within the Member States and their national parliaments.’ I quote the President of the Italian Republic further: ‘Nor can the European Parliament be a kind of court of appeal that rules on the decisions of the national parliaments or on the behaviour of the national governments.’ I do not mean to offend President Napolitano, who is a friend, when I say that he does not toe the same political line as Prime Minister Berlusconi or myself or the group that I represent.', '(Exclamation by Mr Schulz)', 'Please respect my freedom of speech, Mr Schulz! This morning, I would like respect to be shown for freedom of speech and freedom of the press alike!', '(Interruption by Mr Schulz)', 'We know who the troublemakers are. It does not bother me. I am not annoyed. Mr President. All I am asking is that you let me speak. This is not the way to have a debate.', 'However, these words express, in no uncertain terms, the respect that should be shown for our democratic institutions, be they national or European. The fact is, the debate that we are holding this morning has absolutely nothing to do with the reason why the European Parliament exists. Indeed, what is it about? Are Italian politicians prevented from organising a debate on freedom of the press or on any other subject in their own national parliaments? I think not. Are Italian citizens prevented from voicing their disapproval of any given law? No. Are the Italian courts prevented from enforcing the law? No, as we have clearly seen. Is the European Court of Justice incapable of punishing an Italian law that is at odds with the European treaties? No. The answer to all of these questions is clearly no.', 'Under these circumstances, the debate that has been organised in this House is nothing other than a petty political and partisan scheme to upset a political opponent. No matter what some of our fellow Members may claim, the Italian Republic functions as it should in Europe, democratically and in accordance with the rule of law. To claim the opposite is to ignore the reality of matters; no one is fooled by that.', 'The role of the European Parliament, ladies and gentlemen, is not to become a chamber for settling the scores of national political rivals. This Chamber is not the right place for trying to undermine the credibility of a government which, I would add, is politically accountable to its own citizens. This is why we have elections. Thank you for your attention. ']"
4, 5. Freedom of information in Italy (debate) ,"  David-Maria Sassoli,  on behalf of the S&D Group. – (IT) Mr President, Commissioner, ladies and gentlemen, every one of us is influenced by the circumstances in which we live, and you too will have been told before coming here to Brussels: ‘remember that you have a big responsibility, that we have a big responsibility’, that of making your country better.We know that our countries will be better if Europe is stronger and is able to respond with a sense of fairness to its citizens’ expectations. We are obviously aware that this is possible if we all act together; if we are able to pool our most precious resources, our Constitutions, that set of values and of legal rules, of rights, that are Europe’s true assets. So many controversies plague my country, but I would like straight away to reassure everyone that we are talking about a great democratic country, which has a great Constitution. Yesterday was a very important day for we Italians, because the Constitutional Court, faced with confusion and requests for impunity, reaffirmed a simple and time-honoured principle – that all citizens are equal before the law. However, we know that even great countries can go off course, can mix up public property with private interests. Nonetheless, we cannot allow the Member States to become weak.The right to independent information, without pressures or conditions on the part of government authorities, must be guaranteed, and this is a public good, a good for everyone, in every country. This good must be protected without hesitation by the Union. We must endeavour to provide common rules, to set limits beyond which information is no longer considered to be independent. There is an urgent need for the Union to intervene, to adopt a directive that lays down guidelines on pluralism and on the protection of a good that must be available to all. Mrs Reding, never forget that we are a Parliament and not a museum where things are left to moulder away. ","David-Maria Sassoli,",3,335,not_available,"['ita', 'ita', 'ita']","['  David-Maria Sassoli,  on behalf of the S&D Group. – (IT) Mr President, Commissioner, ladies and gentlemen, every one of us is influenced by the circumstances in which we live, and you too will have been told before coming here to Brussels: ‘remember that you have a big responsibility, that we have a big responsibility’, that of making your country better.', 'We know that our countries will be better if Europe is stronger and is able to respond with a sense of fairness to its citizens’ expectations. We are obviously aware that this is possible if we all act together; if we are able to pool our most precious resources, our Constitutions, that set of values and of legal rules, of rights, that are Europe’s true assets. So many controversies plague my country, but I would like straight away to reassure everyone that we are talking about a great democratic country, which has a great Constitution. Yesterday was a very important day for we Italians, because the Constitutional Court, faced with confusion and requests for impunity, reaffirmed a simple and time-honoured principle – that all citizens are equal before the law. However, we know that even great countries can go off course, can mix up public property with private interests. Nonetheless, we cannot allow the Member States to become weak.', 'The right to independent information, without pressures or conditions on the part of government authorities, must be guaranteed, and this is a public good, a good for everyone, in every country. This good must be protected without hesitation by the Union. We must endeavour to provide common rules, to set limits beyond which information is no longer considered to be independent. There is an urgent need for the Union to intervene, to adopt a directive that lays down guidelines on pluralism and on the protection of a good that must be available to all. Mrs Reding, never forget that we are a Parliament and not a museum where things are left to moulder away. ']"
5, 5. Freedom of information in Italy (debate) ,"  Mário David  (PPE).   – (PT) Three or four weeks ago in Portugal, Prisa – a Spanish company that is a known supporter of the Socialist Party and majority shareholder of the television channel TVI – ordered the cancelling of the evening programme Jornal Nacional de Sexta-Feira. Mr Sassoli, I would like to ask you whether the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament has the same intention of studying what is going on in other countries, or if its intentions amount to nothing more than the political chicanery that we are witnessing here this morning. ",Mário David  (PPE).,1,99,not_available,['por'],"['  Mário David  (PPE).   – (PT) Three or four weeks ago in Portugal, Prisa – a Spanish company that is a known supporter of the Socialist Party and majority shareholder of the television channel TVI – ordered the cancelling of the evening programme Jornal Nacional de Sexta-Feira. Mr Sassoli, I would like to ask you whether the Group of the Progressive Alliance of Socialists and Democrats in the European Parliament has the same intention of studying what is going on in other countries, or if its intentions amount to nothing more than the political chicanery that we are witnessing here this morning. ']"
6, 5. Freedom of information in Italy (debate) ,"  David-Maria Sassoli,  on behalf of the S&D Group. – (IT) Thank you for your question, because it gives me the opportunity to explain myself. I did not have this opportunity in the time that was allocated to me.(The President asked the Members to allow the speaker to continue)As I was saying, I am glad you asked me the question because it gives me the opportunity to say that the directive that we are requesting from the Commission must be for all Member States. This is not an Italian issue: this is a European issue. I would also say that we want the question that we are to submit at Strasbourg to be amended. We want it to cover the debate on pluralism in Italy and in Europe. Thank you very much for your question. ","David-Maria Sassoli,",3,137,not_available,"['ita', 'ita', 'ita']","['  David-Maria Sassoli,  on behalf of the S&D Group. – (IT) Thank you for your question, because it gives me the opportunity to explain myself. I did not have this opportunity in the time that was allocated to me.', '(The President asked the Members to allow the speaker to continue)', 'As I was saying, I am glad you asked me the question because it gives me the opportunity to say that the directive that we are requesting from the Commission must be for all Member States. This is not an Italian issue: this is a European issue. I would also say that we want the question that we are to submit at Strasbourg to be amended. We want it to cover the debate on pluralism in Italy and in Europe. Thank you very much for your question. ']"
7, 5. Freedom of information in Italy (debate) ,"  President.   − Colleagues, if there is going to be such a discussion in the chamber, I shall not give permission for blue-card questions. It is my decision. I am sorry, but we must be much calmer about the whole issue, otherwise the rule will be no blue cards. I do not want the sitting to be disturbed. Please behave properly. ",President.,1,60,not_available,['eng'],"['  President.   − Colleagues, if there is going to be such a discussion in the chamber, I shall not give permission for blue-card questions. It is my decision. I am sorry, but we must be much calmer about the whole issue, otherwise the rule will be no blue cards. I do not want the sitting to be disturbed. Please behave properly. ']"
8, 5. Freedom of information in Italy (debate) ,"  Guy Verhofstadt,  on behalf of the ALDE Group. – (FR) Mr President, the President of the Italian Republic, Giorgio Napolitano, is right to say that the European Parliament is not the place for settling disputes between political parties within Member States, or for opposing decisions taken by the national parliaments. The problem in Italy – and I believe that Mr Napolitano, the President of the Republic, is absolutely right – must first be settled in Italy.However – and this is the problem, Mr Daul – no one can deny that there is a problem in Europe and in Italy. The problem I have with your speech is that you are denying that there is a problem.(Applause)Mr Napolitano is right. I think that you are right to also highlight what Mr Napolitano said, but it is not a good idea to say here, in this House, that there is not a problem. Why do I say that? I say that because Freedom House has recently published a study in which the countries of the world are divided into three categories of press freedom: free, partly free and not free. It should be pointed out – and I believe that this is a huge problem – that three countries, not just one, not just Italy, but also Romania and Bulgaria, have been included in the ‘partly free’ category. We are all the more concerned, really concerned, because one of the founding countries of the European Union features among those countries.Given that we created this European Union in order to uphold, once and for all, our common values of democracy, peace and freedom, it is our duty to intervene. How? I believe that we must ask the Commission, on the basis of our treaties – and, I repeat, this is a request that has already been made – to propose a directive to safeguard the pluralism of the media. This is what must happen, and it is a competence that can be implemented with the European Parliament pursuant to the treaties. This directive should guarantee that our constitutional provisions on freedom of the media are respected fully and harmoniously in all of the countries of the European Union, and certainly in all of the countries in question.I must also tell you, Mr President, and I will finish here, that I was very disappointed by the Commission’s speech. The Member States can all do whatever they like as long as it is compatible with their national Constitutions. That is what we heard from the Commission. I completely disagree. I protest. There are values, there are freedoms that must be defended in this House beyond national interests, beyond national Constitutions.(Applause)These are values and principles that really make the European Union what it is. I therefore call on the Commission to review its position and to propose a directive on the issue of media concentration as quickly as possible, and to do so for all of the countries of the European Union. ","Guy Verhofstadt,",8,495,not_available,"['fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra']","['  Guy Verhofstadt,  on behalf of the ALDE Group. – (FR) Mr President, the President of the Italian Republic, Giorgio Napolitano, is right to say that the European Parliament is not the place for settling disputes between political parties within Member States, or for opposing decisions taken by the national parliaments. The problem in Italy – and I believe that Mr Napolitano, the President of the Republic, is absolutely right – must first be settled in Italy.', 'However – and this is the problem, Mr Daul – no one can deny that there is a problem in Europe and in Italy. The problem I have with your speech is that you are denying that there is a problem.', '(Applause)', 'Mr Napolitano is right. I think that you are right to also highlight what Mr Napolitano said, but it is not a good idea to say here, in this House, that there is not a problem. Why do I say that? I say that because Freedom House has recently published a study in which the countries of the world are divided into three categories of press freedom: free, partly free and not free. It should be pointed out – and I believe that this is a huge problem – that three countries, not just one, not just Italy, but also Romania and Bulgaria, have been included in the ‘partly free’ category. We are all the more concerned, really concerned, because one of the founding countries of the European Union features among those countries.', 'Given that we created this European Union in order to uphold, once and for all, our common values of democracy, peace and freedom, it is our duty to intervene. How? I believe that we must ask the Commission, on the basis of our treaties – and, I repeat, this is a request that has already been made – to propose a directive to safeguard the pluralism of the media. This is what must happen, and it is a competence that can be implemented with the European Parliament pursuant to the treaties. This directive should guarantee that our constitutional provisions on freedom of the media are respected fully and harmoniously in all of the countries of the European Union, and certainly in all of the countries in question.', 'I must also tell you, Mr President, and I will finish here, that I was very disappointed by the Commission’s speech. The Member States can all do whatever they like as long as it is compatible with their national Constitutions. That is what we heard from the Commission. I completely disagree. I protest. There are values, there are freedoms that must be defended in this House beyond national interests, beyond national Constitutions.', '(Applause)', 'These are values and principles that really make the European Union what it is. I therefore call on the Commission to review its position and to propose a directive on the issue of media concentration as quickly as possible, and to do so for all of the countries of the European Union. ']"
9, 5. Freedom of information in Italy (debate) ,"  Cristiana Muscardini  (PPE).   – (IT) Mr President, just to follow up the statements made by Mr Sassoli – who stated in this House that the text that we are to vote on in Strasbourg will be changed – I think it is pointless to debate a text that the proponents themselves have already declared they will change. ",Cristiana Muscardini  (PPE).,1,54,not_available,['ita'],"['  Cristiana Muscardini  (PPE).   – (IT) Mr President, just to follow up the statements made by Mr Sassoli – who stated in this House that the text that we are to vote on in Strasbourg will be changed – I think it is pointless to debate a text that the proponents themselves have already declared they will change. ']"
