,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Reanudación del período de sesiones,PRESIDE: Jerzy BUZEK Presidente (Se abre la sesión a las 15.00 horas) ,PRESIDE: Jerzy BUZEK,2,13,not_available,"['spa', 'spa']","['PRESIDE: Jerzy BUZEK Presidente', ' (Se abre la sesión a las 15.00 horas) ']"
1, 1. Reanudación del período de sesiones,"  Presidente.   –Declaro reanudado el período parcial de sesiones del Parlamento Europeo, interrumpido el 17 de septiembre de 2009. ",Presidente.,1,18,not_available,['spa'],"['  Presidente.   –Declaro reanudado el período parcial de sesiones del Parlamento Europeo, interrumpido el 17 de septiembre de 2009. ']"
2, 2. Declaraciones de la Presidencia,"  Presidente.   –Señorías, al iniciar el período de sesiónes de hoy, me gustaría decir unas palabras sobre el referéndum que se celebró el pasado viernes. Estoy muy satisfecho de el resultado. Fue un gran día para Irlanda y también para Europa.(Aplausos)Me gustaría decir que al anunciarse el resultado me encontraba al otro lado de Europa, en Sicilia, donde el resultado fue recibido igual que lo han hecho Sus Señorías, con aplausos. También en muchos otros lugares de toda Europa, los ciudadanos quedaron encantados con el resultado del referéndum irlandés. Los irlandeses han enviado un mensaje claro: desean continuar en el centro de un continente unido. Míle buíochas do mhuintir na hÉireann. Mil gracias y felicitaciones por el resultado del referéndum. Lo he dicho en gaélico, quizá sin mucha precisión, pero es así como suena, más o menos.La Unión Europea ha demostrado que puede escuchar los temores justificados de sus ciudadanos y darles una respuesta adecuada. Las garantías dadas a Irlanda demostraron ser satisfactorias y convencieron a los votantes de que el Tratado de Lisboa será beneficioso para su país. Fue una victoria de la sociedad civil que constituye un buen argumento para el debate en curso en otros Estados miembros.Me gustaría recalcar el importante papel que desempeñaron los empleadores, los sindicatos, las organizaciones de agricultores y pescadores, y también la Iglesia y los dirigentes sociales. Todos ellos contribuyeron a ganar el referéndum.También me gustaría felicitar al Gobierno irlandés y a la oposición, así como a uno de mis predecesores, Pat Cox, que encabezó la campaña «Irlanda por Europa». Felicidades, señor Cox.(Aplausos)Confío en que continuará el proceso de ratificación y en que éste concluirá con éxito en los dos Estados miembros que faltan. He recibido garantías del presidente de Polonia en el sentido de que, ahora que el referéndum irlandés ha arrojado un resultado positivo, firmará sin demora el Tratado de Lisboa.(Aplausos)Espero que el Presidente Klaus lo haga tan pronto como el Tribunal Constitucional de la República Checa resuelva todas las dudas pendientes.El objetivo del Tratado de Lisboa es que la Unión Europea se prepare para los desafíos del siglo XXI. Tenemos que enfrentarnos a los temores de nuestros ciudadanos acerca de la energía, el aumento del desempleo, la inmigración y el cambio climático. Tendremos que actuar conjuntamente como lo hemos hecho muchas veces en el pasado y no debemos olvidar que la clave del éxito es el principio de la solidaridad europea.Tenemos ante nosotros una gran tarea, pero ahora contamos con las herramientas necesarias, así que no dudemos en utilizarlas.Me gustaría hacer un comentario más sobre el referéndum irlandés. No podemos olvidarnos de quienes votaron «no». Nuestra tradición estipula que debemos pensar en todos los europeos, respetar sus opiniones y su derecho a tener una opinión diferente. Quienes votaron «no» también quieren decirnos algo. Quieren convencernos de algo y, lo que es lo más importante, quieren hacernos una advertencia. Aceptamos esa advertencia y también tendremos en cuenta su voto, pero estamos realmente encantados de que la gran mayoría del pueblo irlandés haya dicho «sí» y apoye una Europa común. Por mi parte estoy decidido a trabajar arduamente para que sientan que nuestra Europa común también es su Europa, y que escribiremos juntos la historia del futuro de Europa.***Ahora me gustaría abordar otras dos cuestiones. Se trata de noticias tristes.Me gustaría recordar una gran tragedia y conmemorar de este modo a las víctimas de las avalanchas de lodo ocurridas cerca de Messina, en Sicilia. Ya he hecho una declaración en nombre del Parlamento Europeo en la que expreso nuestras condolencias a sus familias y amigos. Yo me encontraba en Italia en esos momentos y ofrecí mis condolencias públicamente a nuestros amigos, socios y a todos los italianos.***Antes de comenzar me gustaría recordar igualmente que hoy se cumple el tercer aniversario de la muerte de la defensora rusa de los derechos humanos, la periodista Anna Politkovskaya. Sus asesinos aún no han comparecido ante la justicia. Sin embarga, Anna no no ha sido la única víctima. Así pues, recordemos en esta ocasión a otros activistas sociales que han sido asesinados en los últimos años. ",Presidente.,18,695,not_available,"['spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa']","['  Presidente.   –Señorías, al iniciar el período de sesiónes de hoy, me gustaría decir unas palabras sobre el referéndum que se celebró el pasado viernes. Estoy muy satisfecho de el resultado. Fue un gran día para Irlanda y también para Europa.', '(Aplausos)', 'Me gustaría decir que al anunciarse el resultado me encontraba al otro lado de Europa, en Sicilia, donde el resultado fue recibido igual que lo han hecho Sus Señorías, con aplausos. También en muchos otros lugares de toda Europa, los ciudadanos quedaron encantados con el resultado del referéndum irlandés. Los irlandeses han enviado un mensaje claro: desean continuar en el centro de un continente unido. Míle buíochas do mhuintir na hÉireann. Mil gracias y felicitaciones por el resultado del referéndum. Lo he dicho en gaélico, quizá sin mucha precisión, pero es así como suena, más o menos.', 'La Unión Europea ha demostrado que puede escuchar los temores justificados de sus ciudadanos y darles una respuesta adecuada. Las garantías dadas a Irlanda demostraron ser satisfactorias y convencieron a los votantes de que el Tratado de Lisboa será beneficioso para su país. Fue una victoria de la sociedad civil que constituye un buen argumento para el debate en curso en otros Estados miembros.', 'Me gustaría recalcar el importante papel que desempeñaron los empleadores, los sindicatos, las organizaciones de agricultores y pescadores, y también la Iglesia y los dirigentes sociales. Todos ellos contribuyeron a ganar el referéndum.', 'También me gustaría felicitar al Gobierno irlandés y a la oposición, así como a uno de mis predecesores, Pat Cox, que encabezó la campaña «Irlanda por Europa». Felicidades, señor Cox.', '(Aplausos)', 'Confío en que continuará el proceso de ratificación y en que éste concluirá con éxito en los dos Estados miembros que faltan. He recibido garantías del presidente de Polonia en el sentido de que, ahora que el referéndum irlandés ha arrojado un resultado positivo, firmará sin demora el Tratado de Lisboa.', '(Aplausos)', 'Espero que el Presidente Klaus lo haga tan pronto como el Tribunal Constitucional de la República Checa resuelva todas las dudas pendientes.', 'El objetivo del Tratado de Lisboa es que la Unión Europea se prepare para los desafíos del siglo XXI. Tenemos que enfrentarnos a los temores de nuestros ciudadanos acerca de la energía, el aumento del desempleo, la inmigración y el cambio climático. Tendremos que actuar conjuntamente como lo hemos hecho muchas veces en el pasado y no debemos olvidar que la clave del éxito es el principio de la solidaridad europea.', 'Tenemos ante nosotros una gran tarea, pero ahora contamos con las herramientas necesarias, así que no dudemos en utilizarlas.', 'Me gustaría hacer un comentario más sobre el referéndum irlandés. No podemos olvidarnos de quienes votaron «no». Nuestra tradición estipula que debemos pensar en todos los europeos, respetar sus opiniones y su derecho a tener una opinión diferente. Quienes votaron «no» también quieren decirnos algo. Quieren convencernos de algo y, lo que es lo más importante, quieren hacernos una advertencia. Aceptamos esa advertencia y también tendremos en cuenta su voto, pero estamos realmente encantados de que la gran mayoría del pueblo irlandés haya dicho «sí» y apoye una Europa común. Por mi parte estoy decidido a trabajar arduamente para que sientan que nuestra Europa común también es su Europa, y que escribiremos juntos la historia del futuro de Europa.', '***', 'Ahora me gustaría abordar otras dos cuestiones. Se trata de noticias tristes.', 'Me gustaría recordar una gran tragedia y conmemorar de este modo a las víctimas de las avalanchas de lodo ocurridas cerca de Messina, en Sicilia. Ya he hecho una declaración en nombre del Parlamento Europeo en la que expreso nuestras condolencias a sus familias y amigos. Yo me encontraba en Italia en esos momentos y ofrecí mis condolencias públicamente a nuestros amigos, socios y a todos los italianos.', '***', 'Antes de comenzar me gustaría recordar igualmente que hoy se cumple el tercer aniversario de la muerte de la defensora rusa de los derechos humanos, la periodista Anna Politkovskaya. Sus asesinos aún no han comparecido ante la justicia. Sin embarga, Anna no no ha sido la única víctima. Así pues, recordemos en esta ocasión a otros activistas sociales que han sido asesinados en los últimos años. ']"
3, 2. Declaraciones de la Presidencia,"  William (The Earl of) Dartmouth  (EFD).   –Señor Presidente, cuando se dirigió a nosotros para presentar su candidatura a la Presidencia del Parlamento Europeo, señaló que sería una figura y una Presidencia sumamente objetiva. Tengo que decir que acaba de hacer un discurso sobre el referéndum irlandés —me he puesto de pie mientras hablaba, pero usted estaba concentrado en su texto— que ha sido uno de los discursos más subjetivos y parciales que he escuchado y poco adecuado viniendo de un presidente objetivo.(Reacciones diversas) ",William (The Earl of) Dartmouth  (EFD).,2,84,not_available,"['spa', 'spa']","['  William (The Earl of) Dartmouth  (EFD).   –Señor Presidente, cuando se dirigió a nosotros para presentar su candidatura a la Presidencia del Parlamento Europeo, señaló que sería una figura y una Presidencia sumamente objetiva. Tengo que decir que acaba de hacer un discurso sobre el referéndum irlandés —me he puesto de pie mientras hablaba, pero usted estaba concentrado en su texto— que ha sido uno de los discursos más subjetivos y parciales que he escuchado y poco adecuado viniendo de un presidente objetivo.', '(Reacciones diversas) ']"
4, 2. Declaraciones de la Presidencia,  Presidente.   − Probablemente Su Señoría no escuchó la totalidad de mi discurso.(Aplausos) ,Presidente.,2,12,not_available,"['spa', 'spa']","['  Presidente.   − Probablemente Su Señoría no escuchó la totalidad de mi discurso.', '(Aplausos) ']"
5, 12. Orden de los trabajos,"  Presidente.   – Se ha distribuido la versión definitiva del proyecto de orden de los trabajos elaborada por la Conferencia de Presidentes en su reunión del 17 de septiembre de 2009, de conformidad con el artículo 137 del Reglamento del Parlamento.El informe de la señora Bauer sobre la ordenación del tiempo de trabajo de las personas que realizan actividades móviles de transporte por carretera ha sido rechazado tras la votación en comisión.Asimismo, los siguientes informes no fueron recibidos a tiempo:– Los informes del señor Bögesobre la movilización del Fondo de Solidaridad de la Unión Europea: terremoto de los Abruzos, ysobre la movilización del Fondo Europeo de Adaptación a la Globalización: Alemania; sector de las telecomunicaciones, y– el informe de la señora Haug, Proyecto de presupuesto rectificativo 9/2009: terremoto en Italia.Por consiguiente, estos cuatros informes han sido eliminados del orden de los trabajos. ",Presidente.,8,144,not_available,"['spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa', 'spa']","['  Presidente.   – Se ha distribuido la versión definitiva del proyecto de orden de los trabajos elaborada por la Conferencia de Presidentes en su reunión del 17 de septiembre de 2009, de conformidad con el artículo 137 del Reglamento del Parlamento.', 'El informe de la señora Bauer sobre la ordenación del tiempo de trabajo de las personas que realizan actividades móviles de transporte por carretera ha sido rechazado tras la votación en comisión.', 'Asimismo, los siguientes informes no fueron recibidos a tiempo:', '– Los informes del señor Böge', 'sobre la movilización del Fondo de Solidaridad de la Unión Europea: terremoto de los Abruzos, y', 'sobre la movilización del Fondo Europeo de Adaptación a la Globalización: Alemania; sector de las telecomunicaciones, y', '– el informe de la señora Haug, Proyecto de presupuesto rectificativo 9/2009: terremoto en Italia.', 'Por consiguiente, estos cuatros informes han sido eliminados del orden de los trabajos. ']"
6, 12. Orden de los trabajos,"  Alain Lamassoure,  Presidente de la Comisión de Presupuestos. – (FR) Señor Presidente, en relación con los dos informes sobre el uso del Fondo Europeo de Adaptación a la Globalización para el sector de las telecomunicaciones en Alemania y el Fondo de Solidaridad para la tragedia ocurrida en Abruzzo, Italia, la Comisión de Presupuestos aprobó los cuatro informes a principios de la semana, pero no en tiempo útil para su traducción. Simplemente quería corregir lo que ha dicho, pues estos informes han sido aprobados en comisión. No existe obstáculo legal alguno, ya que fueron incluso aprobados por unanimidad. ","Alain Lamassoure,",1,96,not_available,['fra'],"['  Alain Lamassoure,  Presidente de la Comisión de Presupuestos. – (FR) Señor Presidente, en relación con los dos informes sobre el uso del Fondo Europeo de Adaptación a la Globalización para el sector de las telecomunicaciones en Alemania y el Fondo de Solidaridad para la tragedia ocurrida en Abruzzo, Italia, la Comisión de Presupuestos aprobó los cuatro informes a principios de la semana, pero no en tiempo útil para su traducción. Simplemente quería corregir lo que ha dicho, pues estos informes han sido aprobados en comisión. No existe obstáculo legal alguno, ya que fueron incluso aprobados por unanimidad. ']"
7, 12. Orden de los trabajos,"  Presidente.   –Gracias por su pertinente comentario. No obstante, estos informes no figuran en el orden de los trabajos, porque todavía no han sido traducidos. No hubo tiempo para ello. Estos completamente de acuerdo con Su Señoría. Lo siento. Me excedí en lo que dije.Antes de la intervención del señor Lamassoure hice dos propuestas de cambio. La primera contemplaba incluir la declaración del Consejo sobre la situación en Guinea en el segundo punto del orden del día. La segunda se refería a la votación de las propuestas de resolución sobre la indemnización de los pasajeros. ¿Existe alguna otra propuesta sobre estas cuestiones? No queremos confundir los puntos. ",Presidente.,2,107,not_available,"['spa', 'spa']","['  Presidente.   –Gracias por su pertinente comentario. No obstante, estos informes no figuran en el orden de los trabajos, porque todavía no han sido traducidos. No hubo tiempo para ello. Estos completamente de acuerdo con Su Señoría. Lo siento. Me excedí en lo que dije.', 'Antes de la intervención del señor Lamassoure hice dos propuestas de cambio. La primera contemplaba incluir la declaración del Consejo sobre la situación en Guinea en el segundo punto del orden del día. La segunda se refería a la votación de las propuestas de resolución sobre la indemnización de los pasajeros. ¿Existe alguna otra propuesta sobre estas cuestiones? No queremos confundir los puntos. ']"
8, 12. Orden de los trabajos,"  Barbara Matera  (PPE).   – (IT) Señor Presidente, Señorías, en mi calidad de miembro de la Comisión de Presupuestos y en nombre del señor La Via, me gustaría intervenir brevemento para manifestar mi decepción por el aplazamiento de la votación sore la movilización del Fondo de Solidaridad para la región de los Abruzos. Esta votación se ha aplazado dos semanas y tendrá lugar durante el período parcial de sesiones de Estrasburgo.Aunque somos conscientes de que existen razones técnicas para ello, también entendemos que algunas personas siguen viviendo en tiendas de campaña, y que L’Aquila y su región, los Abruzos, son unas de las zonas más frías de Italia.Simplemente queremos hacer hincapié en la importancia de modificar y de racionalizar los procedimientos para movilizar este fondo. ",Barbara Matera  (PPE).,3,126,not_available,"['ita', 'ita', 'ita']","['  Barbara Matera  (PPE).   – (IT) Señor Presidente, Señorías, en mi calidad de miembro de la Comisión de Presupuestos y en nombre del señor La Via, me gustaría intervenir brevemento para manifestar mi decepción por el aplazamiento de la votación sore la movilización del Fondo de Solidaridad para la región de los Abruzos. Esta votación se ha aplazado dos semanas y tendrá lugar durante el período parcial de sesiones de Estrasburgo.', 'Aunque somos conscientes de que existen razones técnicas para ello, también entendemos que algunas personas siguen viviendo en tiendas de campaña, y que L’Aquila y su región, los Abruzos, son unas de las zonas más frías de Italia.', 'Simplemente queremos hacer hincapié en la importancia de modificar y de racionalizar los procedimientos para movilizar este fondo. ']"
9, 12. Orden de los trabajos,"  Presidente.   –Debemos actuar de conformidad con el Reglamento. No fue posible hacer las traducciones en un plazo tan breve y las normas aplicables en este caso establecen el aplazamiento de la cuestión. Yo también lo lamento, pero me gustaría que procediéramos y recorriéramos el orden del día punto por punto, pues de lo contrario acabaríamos con una enorme confusión.Hace un momento, pregunté acerca de la declaración del Consejo sobre la situación en Guinea y la votación de las propuestas de resolución sobre la indemnización de pasajeros. ¿Hay alguna pregunta sobre estos temas?No hay preguntas. Se cierra el debate.(El Parlamento aprueba estas propuestas) ",Presidente.,4,105,not_available,"['spa', 'spa', 'spa', 'spa']","['  Presidente.   –Debemos actuar de conformidad con el Reglamento. No fue posible hacer las traducciones en un plazo tan breve y las normas aplicables en este caso establecen el aplazamiento de la cuestión. Yo también lo lamento, pero me gustaría que procediéramos y recorriéramos el orden del día punto por punto, pues de lo contrario acabaríamos con una enorme confusión.', 'Hace un momento, pregunté acerca de la declaración del Consejo sobre la situación en Guinea y la votación de las propuestas de resolución sobre la indemnización de pasajeros. ¿Hay alguna pregunta sobre estos temas?', 'No hay preguntas. Se cierra el debate.', '(El Parlamento aprueba estas propuestas) ']"
