,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Istungjärgu jätkamine,ISTUNGI JUHATAJA: Jerzy BUZEK president (Istung algas kell 17.00.) ,ISTUNGI JUHATAJA: Jerzy BUZEK,2,10,not_available,"['est', 'est']","['ISTUNGI JUHATAJA: Jerzy BUZEK president', ' (Istung algas kell 17.00.) ']"
1, 1. Istungjärgu jätkamine,"  President.   – Kuulutan neljapäeval, 16. juulil 2009 katkestatud Euroopa Parlamendi istungjärgu taasalanuks. ",President.,1,11,not_available,['est'],"['  President.   – Kuulutan neljapäeval, 16. juulil 2009 katkestatud Euroopa Parlamendi istungjärgu taasalanuks. ']"
2, 2. Presidentuuri avaldused,"  President.   – Veidi üle kahe nädala eest osalesin Westerplattes Teise maailmasõja alguse 70. aastapäeva mälestustseremoonial. See sõda kukutas Euroopa terrori meelevalda, nõudis miljoneid inimelusid ja lõhestas meie kontinendi peaaegu pooleks sajandiks. Me ei tohiks ealeski unustada, et sõda ja vägivald võivad taas kord meie Euroopasse naasta.***Pean rääkima ka ühest teisest vägivaldsest sündmusest, mis sel suvel aset leidis. ETA tappis kaks Hispaania tsiviilkaardiohvitseri, kes oma ametikohuseid täitsid.Mul on ka väga kahju teavitada parlamenti meie Belgia kolleegi Ernest Gline’i surmast, kes 10. augustil 78-aastasena meie seast lahkus. Härra Gline oli Euroopa Parlamendi liige aastatel 1968 kuni 1994. Ajavahemikus 1979 kuni 1984 oli ta ka Sotsiaaldemokraatide fraktsiooni esimees.Suure kurbusega teatan teile ka endise Briti parlamendiliikme Christopher Prouti surmast, kes 12. juulil 67-aastasena meie seast lahkus. Söör Christopher Prout, kellest sai lord Kingsland, oli Euroopa Parlamendi liige aastatel 1979 kuni 1994. Ning ajavahemikus 1987 kuni 1994 oli ta ka Euroopa Demokraatide fraktsiooni esimees.Enne aruteluga jätkamist palun siinolijaid, et mälestaksite koos minuga kõiki neid, kes Euroopat kaitstes oma elu andsid ning ka kõiki neid kes pühendasid oma elu sellele, et muuta Euroopa selliseks, nagu ta tänapäeval on.(Täiskogu tõusis ja pidas minutilise leinaseisaku) ",President.,7,194,not_available,"['est', 'est', 'est', 'est', 'est', 'est', 'est']","['  President.   – Veidi üle kahe nädala eest osalesin Westerplattes Teise maailmasõja alguse 70. aastapäeva mälestustseremoonial. See sõda kukutas Euroopa terrori meelevalda, nõudis miljoneid inimelusid ja lõhestas meie kontinendi peaaegu pooleks sajandiks. Me ei tohiks ealeski unustada, et sõda ja vägivald võivad taas kord meie Euroopasse naasta.', '***', 'Pean rääkima ka ühest teisest vägivaldsest sündmusest, mis sel suvel aset leidis. ETA tappis kaks Hispaania tsiviilkaardiohvitseri, kes oma ametikohuseid täitsid.', 'Mul on ka väga kahju teavitada parlamenti meie Belgia kolleegi Ernest Gline’i surmast, kes 10. augustil 78-aastasena meie seast lahkus. Härra Gline oli Euroopa Parlamendi liige aastatel 1968 kuni 1994. Ajavahemikus 1979 kuni 1984 oli ta ka Sotsiaaldemokraatide fraktsiooni esimees.', 'Suure kurbusega teatan teile ka endise Briti parlamendiliikme Christopher Prouti surmast, kes 12. juulil 67-aastasena meie seast lahkus. Söör Christopher Prout, kellest sai lord Kingsland, oli Euroopa Parlamendi liige aastatel 1979 kuni 1994. Ning ajavahemikus 1987 kuni 1994 oli ta ka Euroopa Demokraatide fraktsiooni esimees.', 'Enne aruteluga jätkamist palun siinolijaid, et mälestaksite koos minuga kõiki neid, kes Euroopat kaitstes oma elu andsid ning ka kõiki neid kes pühendasid oma elu sellele, et muuta Euroopa selliseks, nagu ta tänapäeval on.', '(Täiskogu tõusis ja pidas minutilise leinaseisaku) ']"
3, 15. Tööplaan,"  President.   – Neljapäeval, 2009. aasta 10. septembril esimeeste konverentsil kodukorra artikli 137 kohaselt koostatud osaistungjärgu lõplik päevakorra projekt on välja jagatud.Esmaspäev ja teisipäevMuudatusteta. ",President.,3,23,not_available,"['est', 'est', 'est']","['  President.   – Neljapäeval, 2009. aasta 10. septembril esimeeste konverentsil kodukorra artikli 137 kohaselt koostatud osaistungjärgu lõplik päevakorra projekt on välja jagatud.', 'Esmaspäev ja teisipäev', 'Muudatusteta. ']"
4, 15. Tööplaan,"  Bruno Gollnisch  (NI).   – (FR) Austatud president! Minu sõnavõtt tuleb väga lühike.Sooviksin tugineda siinkohal kodukorra artiklitele seoses esimeeste konverentsiga mis, nagu te juba mainisite, määrab päevakorra. Meie kodukorras on sätestatud, et esimeeste konverents koosneb loomulikult teist endast, fraktsioonide esimeestest ja fraktsioonilise kuuluvuseta parlamendiliikmete esindajast.Kuid praeguseks ei ole fraktsioonilise kuuluvuseta parlamendiliikmete esindajat veel nimetatud. Mitmed fraktsioonilise kuuluvuseta parlamendiliikmed on teile juba seoses selle küsimusega kirjutanud ja on igati valmis teiega kohtuma.Oleks väga hea, austatud president, kui te kutsuksite kokku kuuluvuseta parlamendiliikmete koosoleku, et nad kodukorra kohaselt esimeeste konverentsile oma esindaja nimetaksid, et konverents siis täies koosseisus saaks otsuseid langetada. ",Bruno Gollnisch  (NI).,5,100,not_available,"['fra', 'fra', 'fra', 'fra', 'fra']","['  Bruno Gollnisch  (NI).   – (FR) Austatud president! Minu sõnavõtt tuleb väga lühike.', 'Sooviksin tugineda siinkohal kodukorra artiklitele seoses esimeeste konverentsiga mis, nagu te juba mainisite, määrab päevakorra. ', 'Meie kodukorras on sätestatud, et esimeeste konverents koosneb loomulikult teist endast, fraktsioonide esimeestest ja fraktsioonilise kuuluvuseta parlamendiliikmete esindajast.', 'Kuid praeguseks ei ole fraktsioonilise kuuluvuseta parlamendiliikmete esindajat veel nimetatud. Mitmed fraktsioonilise kuuluvuseta parlamendiliikmed on teile juba seoses selle küsimusega kirjutanud ja on igati valmis teiega kohtuma.', 'Oleks väga hea, austatud president, kui te kutsuksite kokku kuuluvuseta parlamendiliikmete koosoleku, et nad kodukorra kohaselt esimeeste konverentsile oma esindaja nimetaksid, et konverents siis täies koosseisus saaks otsuseid langetada. ']"
5, 15. Tööplaan,"  President.   – Tänan teie kommentaari eest. Ma teavitan teid ja teisi parlamendiliikmeid veel praeguse osaistungjärgu ajal, et siis kõige vajaliku asjus kokku leppida.KolmapäevOlen saanud ühe taotluse Roheliste / Euroopa Vabaliidu fraktsioonilt seoses kolmapäevaga. ",President.,3,32,not_available,"['est', 'est', 'est']","['  President.   – Tänan teie kommentaari eest. Ma teavitan teid ja teisi parlamendiliikmeid veel praeguse osaistungjärgu ajal, et siis kõige vajaliku asjus kokku leppida.', 'Kolmapäev', 'Olen saanud ühe taotluse Roheliste / Euroopa Vabaliidu fraktsioonilt seoses kolmapäevaga. ']"
6, 15. Tööplaan,"  Daniel Cohn-Bendit,  fraktsiooni Verts/ALE nimel. – (FR) Austatud kolleegid! Esimeeste konverentsil hääletati, et Euroopa Komisjoni presidendi valimine – nimetamine – võetakse kolmapäevasesse päevakorda.Teisipäeva pärastlõunal toimub arutelu seoses komisjoni presidendi ettepanekutega. Teeme ettepaneku lükata komisjoni presidendi valimine edasi sellel lihtsalt põhjusel, et 22 päeva pärast toimub Iirimaal rahvahääletus. Nimetatud rahvahääletus on Lissaboni lepingu vastuvõtmise või tagasilükkamise jaoks ülioluline. Täna avaldatud arvamuste küsitlus ütleb, et 62% iirlastest on valmis lepingu poolt hääletama.Arvan, et me peame iirlaste otsust austama, sõltumata sellest, kas oleme Lissaboni lepingu poolt või selle vastu. Kuid see tundub nii absurdne, et 21 päeva ootamise asemel tahame hääletada ja valida presidendi nüüd Nice’i lepingu raames, kui – vähemalt neil, kes on Lissaboni lepingu poolt – on võimalus nimetada komisjon ja selle president juba Lissaboni lepingu raames.Oktoobris saame teada, millisest lepingust lähtuda. Poola president kinnitas pühalikult, et kavatseb pärast Iirimaa rahvahääletust Lissaboni lepingu allkirjastada.Ka Tšehhi konstitutsioonikohus teatas kindlameelselt, et kiirendab otsuste langetamist seoses kahe Lissaboni lepingu vastu esitatud kaebusega, kuna viimane kord ütles kohus üksmeelselt, et Lissaboni leping on põhiseadusega kooskõlas.Seega ei ole Tšehhi presidendil võimalik öelda „ei”, kui leping kord Poolas ja Iirimaal kinnitatud on.Olen kohe lõpetamas, kuid tahan veel midagi tähtsat lisada, austatud president. Selle küsimusega on kaalul ka parlamendi identiteet ja kui me ei leia paari minutit selle üle järele mõtlemiseks, siis ei ole me teinud oma tööd Euroopa Parlamendi liikmetena. See on väga tähtis küsimus. Seepärast palun teil mitte hääletada ei härra Barroso poolt ega tema vastu, vaid hääletada alles pärast iirlaste rahvahääletust ja lükata vajadusel praegune hääletus edasi järgmisesse kuusse. ","Daniel Cohn-Bendit,",7,258,not_available,"['fra', 'fra', 'fra', 'fra', 'fra', 'fra', 'fra']","['  Daniel Cohn-Bendit,  fraktsiooni Verts/ALE nimel. – (FR) Austatud kolleegid! Esimeeste konverentsil hääletati, et Euroopa Komisjoni presidendi valimine – nimetamine – võetakse kolmapäevasesse päevakorda.', 'Teisipäeva pärastlõunal toimub arutelu seoses komisjoni presidendi ettepanekutega. Teeme ettepaneku lükata komisjoni presidendi valimine edasi sellel lihtsalt põhjusel, et 22 päeva pärast toimub Iirimaal rahvahääletus. Nimetatud rahvahääletus on Lissaboni lepingu vastuvõtmise või tagasilükkamise jaoks ülioluline. Täna avaldatud arvamuste küsitlus ütleb, et 62% iirlastest on valmis lepingu poolt hääletama.', 'Arvan, et me peame iirlaste otsust austama, sõltumata sellest, kas oleme Lissaboni lepingu poolt või selle vastu. Kuid see tundub nii absurdne, et 21 päeva ootamise asemel tahame hääletada ja valida presidendi nüüd Nice’i lepingu raames, kui – vähemalt neil, kes on Lissaboni lepingu poolt – on võimalus nimetada komisjon ja selle president juba Lissaboni lepingu raames.', 'Oktoobris saame teada, millisest lepingust lähtuda. Poola president kinnitas pühalikult, et kavatseb pärast Iirimaa rahvahääletust Lissaboni lepingu allkirjastada.', 'Ka Tšehhi konstitutsioonikohus teatas kindlameelselt, et kiirendab otsuste langetamist seoses kahe Lissaboni lepingu vastu esitatud kaebusega, kuna viimane kord ütles kohus üksmeelselt, et Lissaboni leping on põhiseadusega kooskõlas.', 'Seega ei ole Tšehhi presidendil võimalik öelda „ei”, kui leping kord Poolas ja Iirimaal kinnitatud on.', 'Olen kohe lõpetamas, kuid tahan veel midagi tähtsat lisada, austatud president. Selle küsimusega on kaalul ka parlamendi identiteet ja kui me ei leia paari minutit selle üle järele mõtlemiseks, siis ei ole me teinud oma tööd Euroopa Parlamendi liikmetena. See on väga tähtis küsimus. Seepärast palun teil mitte hääletada ei härra Barroso poolt ega tema vastu, vaid hääletada alles pärast iirlaste rahvahääletust ja lükata vajadusel praegune hääletus edasi järgmisesse kuusse. ']"
7, 15. Tööplaan,"  Martin Schulz,  fraktsiooni S&D nimel. – (DE) Austatud president! Daniel Cohn-Bendit rääkis äsja taotlusest, mille minu fraktsioon möödunud nädala esimeeste konverentsil esitas. Kõne all oleva taotluse tegime seepärast, et meie arvates ei ole hetkel valitseva segaduse eest vastutav mitte iirlaste rahvahääletus ega konstitutsioonikohus Prahas, vaid hoopis puudulik sidusus nõukogu arvamuste vahel. On piisavalt selge, et õigustel põhinev ühendus – ja just see Euroopa Liit end olevat väidabki – peab tegutsema kooskõlas kohaldatava õigusega. See kohaldatav õigus on Nice’i leping. Seega ei ole mingit alternatiivi peale Nice’i lepingu järgimise ja see tähendab, et tuleb teha koostööd komisjoni presidendi ja kõikide volinikega.Nõukogu tahab valida presidendi Nice’i lepingu alusel, kuid teha siis seda, millest Daniel Cohn-Bendit rääkis – nimelt valida volinikud Lissaboni lepingu alusel. See tähendaks, et komisjoni president oleks, võrreldes tema volinikega, valitud erineval õiguslikul alusel, mis on muide komisjoni presidendi enda arvates väga kahetsusväärne. Seepärast ta räägibki kogu aeg Lissaboni enamusest, mida ta vajab, kuid mida ta ei saa.Juba see iseenesest näitab segadust, mille nõukogu tekitanud on ja mis ei ole üldsegi kasulik ei Euroopa Liidule ega ka komisjoni presidendile endale. Sel põhjusel olime arvamusel, et hääletamine tuleks lükata edasi seni, kuni nõukogu on oma eesmärkide suhtes üksmeele saavutanud. Sel põhjusel toetamegi seda ...(President katkestas sõnavõtu)Usume, et seda edasilükkamist on vaja põhjustel, mis sarnanevad väga Daniel Cohn-Benditi sõnastatud põhjustega ja nendel põhjustel me nimetatud taotlust ka toetame. ","Martin Schulz,",5,232,not_available,"['ger', 'ger', 'ger', 'ger', 'ger']","['  Martin Schulz,  fraktsiooni S&D nimel. – (DE) Austatud president! Daniel Cohn-Bendit rääkis äsja taotlusest, mille minu fraktsioon möödunud nädala esimeeste konverentsil esitas. Kõne all oleva taotluse tegime seepärast, et meie arvates ei ole hetkel valitseva segaduse eest vastutav mitte iirlaste rahvahääletus ega konstitutsioonikohus Prahas, vaid hoopis puudulik sidusus nõukogu arvamuste vahel. On piisavalt selge, et õigustel põhinev ühendus – ja just see Euroopa Liit end olevat väidabki – peab tegutsema kooskõlas kohaldatava õigusega. See kohaldatav õigus on Nice’i leping. Seega ei ole mingit alternatiivi peale Nice’i lepingu järgimise ja see tähendab, et tuleb teha koostööd komisjoni presidendi ja kõikide volinikega.', 'Nõukogu tahab valida presidendi Nice’i lepingu alusel, kuid teha siis seda, millest Daniel Cohn-Bendit rääkis – nimelt valida volinikud Lissaboni lepingu alusel. See tähendaks, et komisjoni president oleks, võrreldes tema volinikega, valitud erineval õiguslikul alusel, mis on muide komisjoni presidendi enda arvates väga kahetsusväärne. Seepärast ta räägibki kogu aeg Lissaboni enamusest, mida ta vajab, kuid mida ta ei saa.', 'Juba see iseenesest näitab segadust, mille nõukogu tekitanud on ja mis ei ole üldsegi kasulik ei Euroopa Liidule ega ka komisjoni presidendile endale. Sel põhjusel olime arvamusel, et hääletamine tuleks lükata edasi seni, kuni nõukogu on oma eesmärkide suhtes üksmeele saavutanud. Sel põhjusel toetamegi seda ...', '(President katkestas sõnavõtu)', 'Usume, et seda edasilükkamist on vaja põhjustel, mis sarnanevad väga Daniel Cohn-Benditi sõnastatud põhjustega ja nendel põhjustel me nimetatud taotlust ka toetame. ']"
8, 15. Tööplaan,"  President.   – Nüüd võtab sõna parlamendiliige, kes on taotluse vastu. Sõna palus Joseph Daul. Härra Daul, võite sõna võtta. ",President.,1,18,not_available,['est'],"['  President.   – Nüüd võtab sõna parlamendiliige, kes on taotluse vastu. Sõna palus Joseph Daul. Härra Daul, võite sõna võtta. ']"
9, 15. Tööplaan,"  Joseph Daul,  fraktsiooni PPE nimel. – (FR) Austatud president! Nagu teate, pean ma alati oma sõnavõtuajast kinni.Kõigepealt soovin öelda, et ma ei saa Daniel Cohn-Benditist aru, ta oleks pidanud juba paluma, et Euroopa Parlamendi hääletus lükataks edasi, kuni Lissaboni leping on jõustunud.Kuna praegu kehtib Euroopa Parlamendis Nice’i leping, nõuame, et seda lepingut ka Lissaboni lepingu jõustumiseni rakendatakse. Palun ka, et peaksime eeskirjadest kinni senikaua, kuni saame jälle härra Barroso üle hääletada. Parlament peab olema valmis töötamiseks Lissaboni lepingu raames ja siis saame hääletada ka härra Barroso ja Lissaboni lepingu üle, härra Cohn-Bendit. Vastasel juhul puudub meie töös järjekindlus. Seda tahtsingi teile öelda.Et me komisjoni valitud saaksime – ja seda ma ka homme palun – paluksin ma, et me nimetame komisjoni pärast 2. oktoobril toimuvat rahvahääletust olemasoleva, Nice’i lepingu alusel. Lissaboni lepingu üle arutleme siis, kui õige aeg käes on, kui härra Cohn-Bendit on veennud härra Klausi alla kirjutama. Ja kuna ta on sellega nõus, teeb ta seda väga kähku. Me paneme parlamendi tööle Lissaboni lepingu raames ja seejärel valime oma komisjoni presidendi Lissaboni lepingu raames, sest kui me tahame olla järjepidevad, peame seda olema algusest lõpuni. Praegu vajame komisjoni, mis toimib majanduslanguse tingimustes, komisjoni, mis toimib Kopenhaageni raames. Aga nagu te teate, on veel palju teha, enne kui kõik volinikud ja komisjon täies hoos tööle hakkavad.Seepärast palun ma koos oma sama pädevate fraktsioonikolleegidega kolmapäeval komisjoni presidendi nimetamise üle hääletada.(Aplaus) ","Joseph Daul,",6,236,not_available,"['fra', 'fra', 'fra', 'fra', 'fra', 'fra']","['  Joseph Daul,  fraktsiooni PPE nimel. – (FR) Austatud president! Nagu teate, pean ma alati oma sõnavõtuajast kinni.', 'Kõigepealt soovin öelda, et ma ei saa Daniel Cohn-Benditist aru, ta oleks pidanud juba paluma, et Euroopa Parlamendi hääletus lükataks edasi, kuni Lissaboni leping on jõustunud.', 'Kuna praegu kehtib Euroopa Parlamendis Nice’i leping, nõuame, et seda lepingut ka Lissaboni lepingu jõustumiseni rakendatakse. Palun ka, et peaksime eeskirjadest kinni senikaua, kuni saame jälle härra Barroso üle hääletada. Parlament peab olema valmis töötamiseks Lissaboni lepingu raames ja siis saame hääletada ka härra Barroso ja Lissaboni lepingu üle, härra Cohn-Bendit. Vastasel juhul puudub meie töös järjekindlus. Seda tahtsingi teile öelda.', 'Et me komisjoni valitud saaksime – ja seda ma ka homme palun – paluksin ma, et me nimetame komisjoni pärast 2. oktoobril toimuvat rahvahääletust olemasoleva, Nice’i lepingu alusel. Lissaboni lepingu üle arutleme siis, kui õige aeg käes on, kui härra Cohn-Bendit on veennud härra Klausi alla kirjutama. Ja kuna ta on sellega nõus, teeb ta seda väga kähku. Me paneme parlamendi tööle Lissaboni lepingu raames ja seejärel valime oma komisjoni presidendi Lissaboni lepingu raames, sest kui me tahame olla järjepidevad, peame seda olema algusest lõpuni. Praegu vajame komisjoni, mis toimib majanduslanguse tingimustes, komisjoni, mis toimib Kopenhaageni raames. Aga nagu te teate, on veel palju teha, enne kui kõik volinikud ja komisjon täies hoos tööle hakkavad.', 'Seepärast palun ma koos oma sama pädevate fraktsioonikolleegidega kolmapäeval komisjoni presidendi nimetamise üle hääletada.', '(Aplaus) ']"
