,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Reprise de la session,PRÉSIDENCE DE M. JERZY BUZEK Président (La séance est ouverte à 15 h 05) ,PRÉSIDENCE DE M. JERZY BUZEK,2,14,not_available,"['fra', 'fra']","['PRÉSIDENCE DE M. JERZY BUZEK Président', ' (La séance est ouverte à 15 h 05) ']"
1, 1. Reprise de la session,  Le Président.   – Je déclare reprise la session du Parlement européen ajournée le 11 février 2010. ,Le Président.,1,15,not_available,['fra'],['  Le Président.   – Je déclare reprise la session du Parlement européen ajournée le 11 février 2010. ']
2, 2. Déclarations de la Présidence,"  Le Président.   – Permettez-moi d’accueillir pour la première fois le président du Conseil européen, M. Herman Van Rompuy, à la séance plénière du Parlement européen. Monsieur le Président, nous vous souhaitons la bienvenue et nous vous félicitons encore.(Applaudissements)Je voudrais également accueillir le président Barroso. Depuis cinq ans, vous avez vraiment l’habitude de venir ici; ce n’est pas du tout la première fois pour vous! ",Le Président.,3,69,not_available,"['fra', 'fra', 'fra']","['  Le Président.   – Permettez-moi d’accueillir pour la première fois le président du Conseil européen, M. Herman Van Rompuy, à la séance plénière du Parlement européen. Monsieur le Président, nous vous souhaitons la bienvenue et nous vous félicitons encore.', '(Applaudissements)', 'Je voudrais également accueillir le président Barroso. Depuis cinq ans, vous avez vraiment l’habitude de venir ici; ce n’est pas du tout la première fois pour vous! ']"
3, 3. Souhaits de bienvenue,"  Le Président.   – Je voudrais à présenter accueillir chaleureusement deux invités qui arrivent du Belarus: Mme Borys, présidente de l’Union des Polonais du Belarus, et M. Milinkevitch, lauréat de notre Prix Sakharov 2006 et leader de l’opposition démocratique au Belarus.(Applaudissements prolongés)Malheureusement, le Belarus a de nouveau fait la une des journaux en raison du harcèlement dont les organisations non gouvernementales font l’objet là-bas. Le Parlement européen soutient et soutiendra les valeurs universelles auxquelles nous tenons et croyons. Nous condamnerons les régimes autoritaires qui recourent à la force et persécutent les organisations démocratiques simplement parce qu’elles ne partagent pas leurs vues. ",Le Président.,3,106,not_available,"['fra', 'fra', 'fra']","['  Le Président.   – Je voudrais à présenter accueillir chaleureusement deux invités qui arrivent du Belarus: Mme Borys, présidente de l’Union des Polonais du Belarus, et M. Milinkevitch, lauréat de notre Prix Sakharov 2006 et leader de l’opposition démocratique au Belarus.', '(Applaudissements prolongés)', 'Malheureusement, le Belarus a de nouveau fait la une des journaux en raison du harcèlement dont les organisations non gouvernementales font l’objet là-bas. Le Parlement européen soutient et soutiendra les valeurs universelles auxquelles nous tenons et croyons. Nous condamnerons les régimes autoritaires qui recourent à la force et persécutent les organisations démocratiques simplement parce qu’elles ne partagent pas leurs vues. ']"
4, 5. Transport des chevaux destinés à l'abattage dans l'Union européenne (déclaration écrite) ,"  Le Président.   – Je voudrais vous informer que la déclaration écrite 0054/2009 déposée par les députés Elizabeth Lynne, Sidonia Elżbieta Jędrzejewska et Carl Schlyter sur le transport de chevaux destinés à l’abattage dans l’Union européenne a recueilli aujourd’hui, 24 février 2010, les signatures de la majorité des membres qui composent le Parlement et qu’elle sera par conséquent, conformément à l’article 123, paragraphes 3 et 4, du règlement, transmise à ses destinataires et publiée dans les textes adoptés de la séance du 25 février 2010, avec indication au procès-verbal des noms des signataires.Nous voudrions remercier les auteurs d’avoir déposé cette déclaration. ",Le Président.,2,108,not_available,"['fra', 'fra']","['  Le Président.   – Je voudrais vous informer que la déclaration écrite 0054/2009 déposée par les députés Elizabeth Lynne, Sidonia Elżbieta Jędrzejewska et Carl Schlyter sur le transport de chevaux destinés à l’abattage dans l’Union européenne a recueilli aujourd’hui, 24 février 2010, les signatures de la majorité des membres qui composent le Parlement et qu’elle sera par conséquent, conformément à l’article 123, paragraphes 3 et 4, du règlement, transmise à ses destinataires et publiée dans les textes adoptés de la séance du 25 février 2010, avec indication au procès-verbal des noms des signataires.', 'Nous voudrions remercier les auteurs d’avoir déposé cette déclaration. ']"
5, 5. Transport des chevaux destinés à l'abattage dans l'Union européenne (déclaration écrite) ,"  Elizabeth Lynne,  auteure. – (EN) Monsieur le Président, je suis ravie d’apprendre que nous avons obtenu le nombre de signatures requis. Je remercie toutes les personnes qui ont signé cette déclaration écrite. ","Elizabeth Lynne,",1,32,not_available,['eng'],"['  Elizabeth Lynne,  auteure. – (EN) Monsieur le Président, je suis ravie d’apprendre que nous avons obtenu le nombre de signatures requis. Je remercie toutes les personnes qui ont signé cette déclaration écrite. ']"
6, 5. Transport des chevaux destinés à l'abattage dans l'Union européenne (déclaration écrite) ,  Le Président.   – Je voudrais vous informer que je n’ai pas eu la possibilité de signer cette déclaration et que je suis disposé à le faire immédiatement. ,Le Président.,1,27,not_available,['fra'],['  Le Président.   – Je voudrais vous informer que je n’ai pas eu la possibilité de signer cette déclaration et que je suis disposé à le faire immédiatement. ']
7, 12. Ordre des travaux,"  Le Président.   – Le projet d'ordre du jour définitif établi le mercredi 10 février 2010 par la Conférence des présidents conformément à l’article 137 du règlement a été distribué.En accord avec les groupes politiques, je voudrais proposer les changements suivants:Jeudi:En ce qui concerne la séance de jeudi, le groupe des Socialistes et Démocrates au Parlement européen a déposé une demande de report du vote sur le rapport de M. Lehne sur les comptes annuels de certaines formes de sociétés en ce qui concerne les micro-entités. ",Le Président.,4,90,not_available,"['fra', 'fra', 'fra', 'fra']","[""  Le Président.   – Le projet d'ordre du jour définitif établi le mercredi 10 février 2010 par la Conférence des présidents conformément à l’article 137 du règlement a été distribué."", 'En accord avec les groupes politiques, je voudrais proposer les changements suivants:', 'Jeudi:', 'En ce qui concerne la séance de jeudi, le groupe des Socialistes et Démocrates au Parlement européen a déposé une demande de report du vote sur le rapport de M. Lehne sur les comptes annuels de certaines formes de sociétés en ce qui concerne les micro-entités. ']"
8, 12. Ordre des travaux,"  Martin Schulz,  au nom du groupe S&D. – (DE) Monsieur le Président, notre groupe a eu ce matin un débat très animé sur le rapport de M. Lehne. Nous n’avons pas terminé d’en discuter au sein du groupe. Cela arrive parfois dans les groupes. Nous voudrions que M. Lehne, en tant que rapporteur, nous laisse le temps jusqu’à la session plénière de mars d’examiner à nouveau la direction que nous pouvons suivre à propos de ce rapport et la position que nous, en tant que socialistes et démocrates, voulons adopter sur cette question. Je dois admettre franchement que nous avons différentes approches dans notre groupe.Je serais ravi que débattions de cette question, mais si vous, M. Lehne, nous autorisiez à reporter le vote à la première séance plénière de mars, mon groupe - bien que je pense que c’est également le cas pour d’autres groupes - disposerait au moins d’un peu plus de temps pour discuter de la question de manière approfondie et pour parvenir à un avis. ","Martin Schulz,",2,174,not_available,"['ger', 'ger']","['  Martin Schulz,  au nom du groupe S&D. – (DE) Monsieur le Président, notre groupe a eu ce matin un débat très animé sur le rapport de M. Lehne. Nous n’avons pas terminé d’en discuter au sein du groupe. Cela arrive parfois dans les groupes. Nous voudrions que M. Lehne, en tant que rapporteur, nous laisse le temps jusqu’à la session plénière de mars d’examiner à nouveau la direction que nous pouvons suivre à propos de ce rapport et la position que nous, en tant que socialistes et démocrates, voulons adopter sur cette question. Je dois admettre franchement que nous avons différentes approches dans notre groupe.', 'Je serais ravi que débattions de cette question, mais si vous, M. Lehne, nous autorisiez à reporter le vote à la première séance plénière de mars, mon groupe - bien que je pense que c’est également le cas pour d’autres groupes - disposerait au moins d’un peu plus de temps pour discuter de la question de manière approfondie et pour parvenir à un avis. ']"
9, 12. Ordre des travaux,"  Klaus-Heiner Lehne,  rapporteur. – (DE) Monsieur le Président, chers collègues, je pense qu’il est louable que le groupe de l’Alliance Progressiste des Socialistes et Démocrates au Parlement Européen examine cette question en détail. Toutefois, je voudrais dire que le Parlement a adopté une résolution à la quasi-unanimité en décembre 2008, dans laquelle nous avons demandé à la Commission européenne de présenter précisément une proposition telle que celle dont nous discutons en ce moment. Le Parlement doit donc s’en tenir à ce qu’il a lui-même décidé et à ce qui constitue l’intention manifeste de cette Assemblée depuis des années.Comme il est tout à fait naturel que l’un ou l’autre point de toute proposition législative suscite des inquiétudes, nous avons résolu les questions en suspens en élaborant un compromis en commission des affaires juridiques. Je dois préciser que ce compromis attend d’être approuvé. Néanmoins, je comprends très bien qu’il puisse être judicieux d’élargir un peu plus le groupe de personnes qui soutiennent ce rapport. Si les efforts de M. Schulz visent à accroître le nombre de ses partisans, je ne m’oppose pas à un report jusqu’à la prochaine session plénière, qui aura lieu en mars. C’est mon avis personnel à ce sujet. Ce n’est pas l’avis du groupe, qui en a expressément décidé autrement ce matin. Toutefois, je pense que nous devrions donner aux socialistes une chance de parvenir à une conclusion, afin qu’ils puissent contribuer, eux aussi, à la réduction de la bureaucratie et des charges qui pèsent sur les petites et moyennes entreprises. ","Klaus-Heiner Lehne,",2,272,not_available,"['ger', 'ger']","['  Klaus-Heiner Lehne,  rapporteur. – (DE) Monsieur le Président, chers collègues, je pense qu’il est louable que le groupe de l’Alliance Progressiste des Socialistes et Démocrates au Parlement Européen examine cette question en détail. Toutefois, je voudrais dire que le Parlement a adopté une résolution à la quasi-unanimité en décembre 2008, dans laquelle nous avons demandé à la Commission européenne de présenter précisément une proposition telle que celle dont nous discutons en ce moment. Le Parlement doit donc s’en tenir à ce qu’il a lui-même décidé et à ce qui constitue l’intention manifeste de cette Assemblée depuis des années.', 'Comme il est tout à fait naturel que l’un ou l’autre point de toute proposition législative suscite des inquiétudes, nous avons résolu les questions en suspens en élaborant un compromis en commission des affaires juridiques. Je dois préciser que ce compromis attend d’être approuvé. Néanmoins, je comprends très bien qu’il puisse être judicieux d’élargir un peu plus le groupe de personnes qui soutiennent ce rapport. Si les efforts de M. Schulz visent à accroître le nombre de ses partisans, je ne m’oppose pas à un report jusqu’à la prochaine session plénière, qui aura lieu en mars. C’est mon avis personnel à ce sujet. Ce n’est pas l’avis du groupe, qui en a expressément décidé autrement ce matin. Toutefois, je pense que nous devrions donner aux socialistes une chance de parvenir à une conclusion, afin qu’ils puissent contribuer, eux aussi, à la réduction de la bureaucratie et des charges qui pèsent sur les petites et moyennes entreprises. ']"
