,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Ripresa della sessione ,PRESIDENZA DELL’ON. BUZEK Presidente (La seduta ha inizio alle 17.00) ,PRESIDENZA DELL’ON. BUZEK,2,12,not_available,"['ita', 'ita']","['PRESIDENZA DELL’ON. BUZEK Presidente', ' (La seduta ha inizio alle 17.00) ']"
1, 1. Ripresa della sessione ,  Presidente.   – Dichiaro ripresa la sessione del Parlamento europeo sospesa giovedì 17 dicembre 2009. ,Presidente.,1,13,not_available,['ita'],['  Presidente.   – Dichiaro ripresa la sessione del Parlamento europeo sospesa giovedì 17 dicembre 2009. ']
2, 2. Dichiarazioni della Presidenza ,"  Presidente.   – È con grande tristezza che devo informarvi che la signora Boal, vice capo della delegazione dell’Unione europea a Haiti e già funzionaria del Parlamento europeo, purtroppo è ancora dispersa. Le ricerche, tuttavia, proseguono. Oggi il popolo haitiano, colpito dalla grande tragedia del terremoto, è nei pensieri di tutti noi. Sia i singoli paesi europei sia l’intera Unione europea si sono impegnati a fornire un notevole sostegno finanziario a Haiti e a dispiegare 150 agenti di polizia della Forza di gendarmeria europea. Nel paese operano anche squadre di soccorso inviate dai singoli paesi dell’Unione. Questo è il peggior cataclisma nella storia di Haiti e uno dei peggiori disastri della storia dell’umanità Inoltre, molti nostri concittadini sono morti e molti altri risultano dispersi. Vorrei che onoraste la memoria delle vittime di questa inimmaginabile catastrofe con un minuto di silenzio: vi prego di alzarvi in piedi.È stato inoltre con grande rammarico che ho appreso la notizia dell’esecuzione in Cina del cittadino britannico Akmal Shaikh, uno dei quasi 7 000 prigionieri che vengono giustiziati ogni anno nel paese. Si tratta inoltre del primo cittadino dell’Unione europea punito con la pena capitale in Cina dal 1951. Il Parlamento europeo condanna e ha sempre condannato la pena di morte e continuerà ad adoperarsi per una moratoria sulle esecuzioni.Ieri, in Ucraina si è tenuta la prima tornata delle elezioni presidenziali. I rappresentanti del Parlamento europeo stanno osservando le elezioni ed erano presenti ieri. Non abbiamo ancora ricevuto informazioni ufficiali sullo svolgimento delle consultazioni. I nostri colleghi non hanno inviato informazioni ufficiali, ma potremmo riceverle in qualsiasi momento: ci attendiamo indicazioni che le elezioni si sono svolte correttamente, e che lo stesso si potrà dire della seconda tornata, prevista per i primi di febbraio.Il 1° gennaio, la Spagna ha assunto la presidenza del Consiglio dell’Unione europea. Sono certo che, in conformità al nuovo trattato e in collaborazione con il nuovo presidente del Consiglio, la presidenza spagnola si rivelerà un successo e conseguirà gli obiettivi prefissati. Il programma della tornata prevede un incontro con il primo ministro Zapatero in cui parleremo del programma della troika. Pertanto, non discuteremo soltanto della Spagna, ma anche del Belgio e dell’Ungheria.Onorevoli colleghi, permettetemi, infine, di esprimervi i miei più sinceri auguri di prosperità e successo per l’anno nuovo, il 2010. Possa l’inizio di questo nuovo decennio ispirare tutti noi a lavorare instancabilmente per il bene dei nostri cittadini. Come ho dichiarato una settimana fa a Bruxelles: un anno nuovo, un nuovo trattato e una nuova era per l’Unione europea. Al nostro Parlamento spetta una responsabilità particolare rispetto al futuro dell’Unione europea. Tutti noi lo sappiamo bene. ",Presidente.,5,450,not_available,"['ita', 'ita', 'ita', 'ita', 'ita']","['  Presidente.   – È con grande tristezza che devo informarvi che la signora Boal, vice capo della delegazione dell’Unione europea a Haiti e già funzionaria del Parlamento europeo, purtroppo è ancora dispersa. Le ricerche, tuttavia, proseguono. Oggi il popolo haitiano, colpito dalla grande tragedia del terremoto, è nei pensieri di tutti noi. Sia i singoli paesi europei sia l’intera Unione europea si sono impegnati a fornire un notevole sostegno finanziario a Haiti e a dispiegare 150 agenti di polizia della Forza di gendarmeria europea. Nel paese operano anche squadre di soccorso inviate dai singoli paesi dell’Unione. Questo è il peggior cataclisma nella storia di Haiti e uno dei peggiori disastri della storia dell’umanità Inoltre, molti nostri concittadini sono morti e molti altri risultano dispersi. Vorrei che onoraste la memoria delle vittime di questa inimmaginabile catastrofe con un minuto di silenzio: vi prego di alzarvi in piedi.', 'È stato inoltre con grande rammarico che ho appreso la notizia dell’esecuzione in Cina del cittadino britannico Akmal Shaikh, uno dei quasi 7 000 prigionieri che vengono giustiziati ogni anno nel paese. Si tratta inoltre del primo cittadino dell’Unione europea punito con la pena capitale in Cina dal 1951. Il Parlamento europeo condanna e ha sempre condannato la pena di morte e continuerà ad adoperarsi per una moratoria sulle esecuzioni.', 'Ieri, in Ucraina si è tenuta la prima tornata delle elezioni presidenziali. I rappresentanti del Parlamento europeo stanno osservando le elezioni ed erano presenti ieri. Non abbiamo ancora ricevuto informazioni ufficiali sullo svolgimento delle consultazioni. I nostri colleghi non hanno inviato informazioni ufficiali, ma potremmo riceverle in qualsiasi momento: ci attendiamo indicazioni che le elezioni si sono svolte correttamente, e che lo stesso si potrà dire della seconda tornata, prevista per i primi di febbraio.', 'Il 1° gennaio, la Spagna ha assunto la presidenza del Consiglio dell’Unione europea. Sono certo che, in conformità al nuovo trattato e in collaborazione con il nuovo presidente del Consiglio, la presidenza spagnola si rivelerà un successo e conseguirà gli obiettivi prefissati. Il programma della tornata prevede un incontro con il primo ministro Zapatero in cui parleremo del programma della troika. Pertanto, non discuteremo soltanto della Spagna, ma anche del Belgio e dell’Ungheria.', 'Onorevoli colleghi, permettetemi, infine, di esprimervi i miei più sinceri auguri di prosperità e successo per l’anno nuovo, il 2010. Possa l’inizio di questo nuovo decennio ispirare tutti noi a lavorare instancabilmente per il bene dei nostri cittadini. Come ho dichiarato una settimana fa a Bruxelles: un anno nuovo, un nuovo trattato e una nuova era per l’Unione europea. Al nostro Parlamento spetta una responsabilità particolare rispetto al futuro dell’Unione europea. Tutti noi lo sappiamo bene. ']"
3, 11. Ordine dei lavori,"  Presidente.   – È stata distribuita la versione definitiva del progetto di ordine del giorno redatto dalla Conferenza dei presidenti in occasione della riunione di giovedì 14 gennaio 2010 a norma dell’articolo 137 del regolamento. Sono stati proposti i seguenti emendamenti:Martedì:Ho ricevuto la richiesta, da parte del gruppo dell’Alleanza Progressista di Socialisti e Democratici al Parlamento europeo, di concludere la discussione su Haiti presentando proposte di risoluzione da sottoporre a votazione nel corso della prima tornata di febbraio. ",Presidente.,3,80,not_available,"['ita', 'ita', 'ita']","['  Presidente.   – È stata distribuita la versione definitiva del progetto di ordine del giorno redatto dalla Conferenza dei presidenti in occasione della riunione di giovedì 14 gennaio 2010 a norma dell’articolo 137 del regolamento. Sono stati proposti i seguenti emendamenti:', 'Martedì:', 'Ho ricevuto la richiesta, da parte del gruppo dell’Alleanza Progressista di Socialisti e Democratici al Parlamento europeo, di concludere la discussione su Haiti presentando proposte di risoluzione da sottoporre a votazione nel corso della prima tornata di febbraio. ']"
4, 11. Ordine dei lavori,"  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, naturalmente anche noi le porgiamo i migliori auguri per l’anno nuovo.Desidererei sapere se tornerà sulla questione della risoluzione su Haiti. Noi vorremmo presentare una risoluzione su Haiti che deve essere assolutamente varata a febbraio. ","Hannes Swoboda,",2,47,not_available,"['ger', 'ger']","['  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, naturalmente anche noi le porgiamo i migliori auguri per l’anno nuovo.', 'Desidererei sapere se tornerà sulla questione della risoluzione su Haiti. Noi vorremmo presentare una risoluzione su Haiti che deve essere assolutamente varata a febbraio. ']"
5, 11. Ordine dei lavori,"  Francesco Enrico Speroni , a nome del gruppo EFD. – Signor Presidente, onorevoli colleghi, i motivi a favore sono due: uno, l'importanza della materia – e ritengo un pochino bizzarro che il Parlamento si rifiuti di votare, ognuno ha le sue opinioni, ognuno la può pensare come gli pare, però come Parlamento penso che ci sia un dovere di esprimersi sulla materia nel senso che ognuno ritiene opportuno.Poi, quest'Aula aveva già chiesto, aveva già votato l'inserimento del punto come votazione spostandola da dicembre a gennaio. Ora ritengo che l'Ufficio di presidenza, o meglio la Conferenza dei presidenti non avrebbe dovuto andare contro un'espressione precisa e puntuale dell'Aula, per cui ritengo che l'Aula su questo si debba esprimere fra pochi istanti. ",Francesco Enrico Speroni,2,125,not_available,"['ita', 'ita']","[""  Francesco Enrico Speroni , a nome del gruppo EFD. – Signor Presidente, onorevoli colleghi, i motivi a favore sono due: uno, l'importanza della materia – e ritengo un pochino bizzarro che il Parlamento si rifiuti di votare, ognuno ha le sue opinioni, ognuno la può pensare come gli pare, però come Parlamento penso che ci sia un dovere di esprimersi sulla materia nel senso che ognuno ritiene opportuno."", ""Poi, quest'Aula aveva già chiesto, aveva già votato l'inserimento del punto come votazione spostandola da dicembre a gennaio. Ora ritengo che l'Ufficio di presidenza, o meglio la Conferenza dei presidenti non avrebbe dovuto andare contro un'espressione precisa e puntuale dell'Aula, per cui ritengo che l'Aula su questo si debba esprimere fra pochi istanti. ""]"
6, 11. Ordine dei lavori,"  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, abbiamo assistito a discussioni molto accese. Abbiamo visto che in realtà esistono opinioni molto discordanti su questi risultati, ottenuti da una corte di giustizia non comunitaria. Non dovremmo dunque ricadere in una discussione su questo argomento di grande serietà, finendo per dividerci anziché trovare una posizione comune. Occorre mettere da parte questo tema per qualche tempo. Le nostre opinioni erano divergenti e lo sono ancora: è per questo che è meglio non tornare a discuterne per tentare di giungere a una nuova risoluzione. ","Hannes Swoboda,",1,94,not_available,['ger'],"['  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, abbiamo assistito a discussioni molto accese. Abbiamo visto che in realtà esistono opinioni molto discordanti su questi risultati, ottenuti da una corte di giustizia non comunitaria. Non dovremmo dunque ricadere in una discussione su questo argomento di grande serietà, finendo per dividerci anziché trovare una posizione comune. Occorre mettere da parte questo tema per qualche tempo. Le nostre opinioni erano divergenti e lo sono ancora: è per questo che è meglio non tornare a discuterne per tentare di giungere a una nuova risoluzione. ']"
7, 11. Ordine dei lavori,"  Mario Mauro  , a nome del gruppo PPE. – Signor Presidente, onorevoli colleghi, solo per pregare i colleghi di mantenere questo punto all'ordine del giorno: il massacro dei cristiani copti, all'indomani o meglio nella notte del Natale copto, e le numerose uccisioni di cristiani in Malesia dicono di un problema ben chiaro, che è quello della libertà religiosa in questi paesi.Di per sé l'iniziativa della risoluzione non costituisce un'iniziativa contro i singoli e specifici governi, bensì un modo per mettere in evidenza come il dramma della libertà religiosa costituisca un fondamento della nostra convivenza civile ed è giusto quindi che il Parlamento si esprima su questo argomento. ",Mario Mauro,2,110,not_available,"['ita', 'ita']","[""  Mario Mauro  , a nome del gruppo PPE. – Signor Presidente, onorevoli colleghi, solo per pregare i colleghi di mantenere questo punto all'ordine del giorno: il massacro dei cristiani copti, all'indomani o meglio nella notte del Natale copto, e le numerose uccisioni di cristiani in Malesia dicono di un problema ben chiaro, che è quello della libertà religiosa in questi paesi."", ""Di per sé l'iniziativa della risoluzione non costituisce un'iniziativa contro i singoli e specifici governi, bensì un modo per mettere in evidenza come il dramma della libertà religiosa costituisca un fondamento della nostra convivenza civile ed è giusto quindi che il Parlamento si esprima su questo argomento. ""]"
8, 11. Ordine dei lavori,"  Ioannis Kasoulides,  a nome del gruppo PPE. – (EN) Signor Presidente, desideriamo chiedere che la discussione sulle relazioni tra la Tunisia e l’Unione europea sia rinviata alla tornata di febbraio, dato che, nel frattempo, la sottocommissione per i diritti umani si riunirà per discutere delle relazioni tra l’Unione europea e la Tunisia e potremmo entrare in possesso di nuovo materiale per la discussione. ","Ioannis Kasoulides,",1,64,not_available,['eng'],"['  Ioannis Kasoulides,  a nome del gruppo PPE. – (EN) Signor Presidente, desideriamo chiedere che la discussione sulle relazioni tra la Tunisia e l’Unione europea sia rinviata alla tornata di febbraio, dato che, nel frattempo, la sottocommissione per i diritti umani si riunirà per discutere delle relazioni tra l’Unione europea e la Tunisia e potremmo entrare in possesso di nuovo materiale per la discussione. ']"
9, 11. Ordine dei lavori,"  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, non è previsto che adottiamo una risoluzione ora. È positivo discuterne, ma senza varare una risoluzione. Dopo un’attenta valutazione, mi sono persuasa che la soluzione potrà essere redatta soltanto dopo la visita, qualora la si compia effettivamente. La discussione, tuttavia, dovrebbe svolgersi senza dubbio ora, in modo che i deputati che si recheranno nel paese possano farsi portavoce, almeno in parte, del comune sentire dell’Assemblea. ","Hannes Swoboda,",1,78,not_available,['ger'],"['  Hannes Swoboda,  a nome del gruppo S&D. – (DE) Signor Presidente, non è previsto che adottiamo una risoluzione ora. È positivo discuterne, ma senza varare una risoluzione. Dopo un’attenta valutazione, mi sono persuasa che la soluzione potrà essere redatta soltanto dopo la visita, qualora la si compia effettivamente. La discussione, tuttavia, dovrebbe svolgersi senza dubbio ora, in modo che i deputati che si recheranno nel paese possano farsi portavoce, almeno in parte, del comune sentire dell’Assemblea. ']"
10, 12. Interventi di un minuto su questioni di rilevanza politica,  Presidente.   – L’ordine del giorno reca gli interventi di un minuto su questioni di rilevanza politica. ,Presidente.,1,16,not_available,['ita'],['  Presidente.   – L’ordine del giorno reca gli interventi di un minuto su questioni di rilevanza politica. ']
11, 12. Interventi di un minuto su questioni di rilevanza politica,"  Ioannis Kasoulides  (PPE).   – (EN) Signor Presidente, prima ha fatto riferimento alla pena capitale. Spesso parliamo in questa sede del numero di esecuzioni capitali praticate in Cina, in Iran eccetera. Vorrei citare il caso di un uomo dell’Ohio, negli Stati Uniti, il quale, dopo aver scontato 30 anni di carcere, ha “scontato” anche la pena di morte, in ottemperanza alle procedure. Scontare due delle pene più severe in assoluto equivale a un trattamento molto crudele per gli standard europei.Penso che, nel nostro dialogo con gli Stati Uniti, il nostro principale alleato, occorra sollevare il tema della pena di morte. Dobbiamo anche tenere presente l’altro caso, quello di un detenuto che, dopo avere scontato 35 anni di carcere, è stato scagionato. La pena di morte non produce alcun effetto deterrente né alcuna correzione: è un punto di non ritorno. ",Ioannis Kasoulides  (PPE).,2,140,not_available,"['eng', 'eng']","['  Ioannis Kasoulides  (PPE).   – (EN) Signor Presidente, prima ha fatto riferimento alla pena capitale. Spesso parliamo in questa sede del numero di esecuzioni capitali praticate in Cina, in Iran eccetera. Vorrei citare il caso di un uomo dell’Ohio, negli Stati Uniti, il quale, dopo aver scontato 30 anni di carcere, ha “scontato” anche la pena di morte, in ottemperanza alle procedure. Scontare due delle pene più severe in assoluto equivale a un trattamento molto crudele per gli standard europei.', 'Penso che, nel nostro dialogo con gli Stati Uniti, il nostro principale alleato, occorra sollevare il tema della pena di morte. Dobbiamo anche tenere presente l’altro caso, quello di un detenuto che, dopo avere scontato 35 anni di carcere, è stato scagionato. La pena di morte non produce alcun effetto deterrente né alcuna correzione: è un punto di non ritorno. ']"
