,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Hervatting van de zitting,VOORZITTER: JERZY BUZEK Voorzitter (De vergadering wordt om 17.00 uur geopend) ,VOORZITTER: JERZY BUZEK,2,12,not_available,"['dut', 'dut']","['VOORZITTER: JERZY BUZEK Voorzitter', ' (De vergadering wordt om 17.00 uur geopend) ']"
1, 1. Hervatting van de zitting,"  De Voorzitter.   – Ik verklaar de zitting van het Europees Parlement, die op 26 november 2009 werd onderbroken, te zijn hervat. ",De Voorzitter.,1,20,not_available,['dut'],"['  De Voorzitter.   – Ik verklaar de zitting van het Europees Parlement, die op 26 november 2009 werd onderbroken, te zijn hervat. ']"
2, 2. Mededelingen van de Voorzitter,"  De Voorzitter.   – Bij de opening van de laatste vergaderperiode van het Europees Parlement in 2009, wil ik u, collega's, allereerst het allerbeste wensen voor de aanstaande kerstdagen, voor het chanoekafeest, dat al begonnen is, en het komende nieuwe jaar. En namens alle leden van het Europees Parlement wil ik de administratie en iedereen die rechtstreeks voor het Europees Parlement werkt en ons bij onze werkzaamheden helpt, evenzeer het allerbeste wensen.Daarnaast wil ik graag even stilstaan bij de aanval op de Italiaanse premier Silvio Berlusconi. Het incident van gisteren verdient onze ondubbelzinnige veroordeling. Het had nooit mogen plaatsvinden, want het overschrijdt de grenzen van wat in de politieke arena geoorloofd is. We hopen dat de heer Berlusconi het ziekenhuis snel weer mag verlaten en wensen hem een spoedig herstel.Met uw welnemen wil ik ook nog een verjaardag onder uw aandacht brengen die mij persoonlijk na aan het hart ligt. Gisteren was het 28 jaar geleden dat de toenmalige communistische autoriteiten in Polen de staat van beleg afkondigden. Als gevolg hiervan zijn bijna honderd slachtoffers gevallen, waaronder negen mijnwerkers die tijdens de staking in de kolenmijn Wujek werden doodgeschoten. Vele duizenden democratische dissidenten werden geïnterneerd of zelfs gevangengezet. Zo wilde men de vakbond Solidarność breken en uit de weg ruimen. Ik herinner aan deze gebeurtenissen omdat ik erop wil wijzen hoe sterk Europa de afgelopen twee, drie decennia veranderd is, maar ook hoe sterk we ons moeten inzetten voor vrede en mensenrechten op ons continent en in de hele wereld.Bij deze gelegenheid zou ik u er bovendien aan willen herinneren dat woensdag om 12.00 uur de uitreiking zal plaatsvinden van de Sacharovprijs voor de vrijheid van denken. Dit jaar wordt de prijs uitgereikt aan Loedmila Aleksejeva, Sergej Kovalev en Oleg Orlov, die de Russische mensenrechtenorganisatie Memorial vertegenwoordigen. Ons continent heeft in de twintigste eeuw zwaar geleden en daarom begrijpen we maar al te goed hoe belangrijk het is dat mensen zich overal ter wereld, en met name op het Europese continent, inzetten voor de mensenrechten. Dit evenement is voor ons dan ook buitengewoon belangrijk. ",De Voorzitter.,4,347,not_available,"['dut', 'dut', 'dut', 'dut']","[""  De Voorzitter.   – Bij de opening van de laatste vergaderperiode van het Europees Parlement in 2009, wil ik u, collega's, allereerst het allerbeste wensen voor de aanstaande kerstdagen, voor het chanoekafeest, dat al begonnen is, en het komende nieuwe jaar. En namens alle leden van het Europees Parlement wil ik de administratie en iedereen die rechtstreeks voor het Europees Parlement werkt en ons bij onze werkzaamheden helpt, evenzeer het allerbeste wensen."", 'Daarnaast wil ik graag even stilstaan bij de aanval op de Italiaanse premier Silvio Berlusconi. Het incident van gisteren verdient onze ondubbelzinnige veroordeling. Het had nooit mogen plaatsvinden, want het overschrijdt de grenzen van wat in de politieke arena geoorloofd is. We hopen dat de heer Berlusconi het ziekenhuis snel weer mag verlaten en wensen hem een spoedig herstel.', 'Met uw welnemen wil ik ook nog een verjaardag onder uw aandacht brengen die mij persoonlijk na aan het hart ligt. Gisteren was het 28 jaar geleden dat de toenmalige communistische autoriteiten in Polen de staat van beleg afkondigden. Als gevolg hiervan zijn bijna honderd slachtoffers gevallen, waaronder negen mijnwerkers die tijdens de staking in de kolenmijn Wujek werden doodgeschoten. Vele duizenden democratische dissidenten werden geïnterneerd of zelfs gevangengezet. Zo wilde men de vakbond Solidarność breken en uit de weg ruimen. Ik herinner aan deze gebeurtenissen omdat ik erop wil wijzen hoe sterk Europa de afgelopen twee, drie decennia veranderd is, maar ook hoe sterk we ons moeten inzetten voor vrede en mensenrechten op ons continent en in de hele wereld.', 'Bij deze gelegenheid zou ik u er bovendien aan willen herinneren dat woensdag om 12.00 uur de uitreiking zal plaatsvinden van de Sacharovprijs voor de vrijheid van denken. Dit jaar wordt de prijs uitgereikt aan Loedmila Aleksejeva, Sergej Kovalev en Oleg Orlov, die de Russische mensenrechtenorganisatie Memorial vertegenwoordigen. Ons continent heeft in de twintigste eeuw zwaar geleden en daarom begrijpen we maar al te goed hoe belangrijk het is dat mensen zich overal ter wereld, en met name op het Europese continent, inzetten voor de mensenrechten. Dit evenement is voor ons dan ook buitengewoon belangrijk. ']"
3, 2. Mededelingen van de Voorzitter,"  Francesco Enrico Speroni,  namens de EFD-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, mijn excuses als ik mogelijk inbreek in de normale procedure, maar ik wilde me namens mijzelf en mijn fractie solidair verklaren met premier Berlusconi. ","Francesco Enrico Speroni,",1,38,not_available,['ita'],"['  Francesco Enrico Speroni,  namens de EFD-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, mijn excuses als ik mogelijk inbreek in de normale procedure, maar ik wilde me namens mijzelf en mijn fractie solidair verklaren met premier Berlusconi. ']"
4, 2. Mededelingen van de Voorzitter,  De Voorzitter.   – Ik heb mijn solidariteit geuit namens het hele Europees Parlement. ,De Voorzitter.,1,12,not_available,['dut'],['  De Voorzitter.   – Ik heb mijn solidariteit geuit namens het hele Europees Parlement. ']
5, 2. Mededelingen van de Voorzitter,"  Gianni Pittella,  namens de S&D-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, mede namens de heer Sassoli en alle afgevaardigden van de Partito Democratico in de Fractie van de Progressieve Alliantie van Socialisten en Democraten in het Europees Parlement wil ik me aansluiten bij uw solidariteitsbetuiging met de Italiaanse premier Berlusconi. Het is een schandelijke en onaanvaardbare daad die niet te rechtvaardigen valt.Wij zijn felle tegenstanders van Berlusconi, maar wij zijn louter politieke tegenstrevers. Voor ons is premier Berlusconi noch enige andere tegenstander een vijand. Het enige middel waarmee wij kunnen strijden en overwinnen is de politieke en maatschappelijke strijd. We zullen niemand toestaan bij de levendige politieke confrontatie te ontsporen en terecht te komen op het gevaarlijke hellende vlak van haat en geweld. Dat zou de eerste stap zijn op weg naar een autoritaire en antidemocratische omslag. Het is terecht dat dit Parlement weer eens blijk geeft van superieure kalmte, respect en democratische volwassenheid. ","Gianni Pittella,",2,158,not_available,"['ita', 'ita']","['  Gianni Pittella,  namens de S&D-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, mede namens de heer Sassoli en alle afgevaardigden van de Partito Democratico in de Fractie van de Progressieve Alliantie van Socialisten en Democraten in het Europees Parlement wil ik me aansluiten bij uw solidariteitsbetuiging met de Italiaanse premier Berlusconi. Het is een schandelijke en onaanvaardbare daad die niet te rechtvaardigen valt.', 'Wij zijn felle tegenstanders van Berlusconi, maar wij zijn louter politieke tegenstrevers. Voor ons is premier Berlusconi noch enige andere tegenstander een vijand. Het enige middel waarmee wij kunnen strijden en overwinnen is de politieke en maatschappelijke strijd. We zullen niemand toestaan bij de levendige politieke confrontatie te ontsporen en terecht te komen op het gevaarlijke hellende vlak van haat en geweld. Dat zou de eerste stap zijn op weg naar een autoritaire en antidemocratische omslag. Het is terecht dat dit Parlement weer eens blijk geeft van superieure kalmte, respect en democratische volwassenheid. ']"
6, 2. Mededelingen van de Voorzitter,"  Mario Mauro,  namens de PPE-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, ook namens mijn fractie zou ik niet voor de vorm maar recht uit mijn hart op de allereerste plaats u willen danken. U heeft met de kwalificatie “onwaardig” op gepaste wijze beschreven wat er is gebeurd. Maar zo mogelijk zou ik nog hartelijker de Italiaanse collega’s, in het bijzonder de heer Pittella, willen danken voor hun woorden.Ik heb geen enkele behoefte aan politieke speculatie, maar wat er is gebeurd kan ons tot aan de rand van de afgrond brengen. De oproep die hier in het Parlement eensluidend is gedaan, is het enige wat ons kan leiden op dit moeilijke moment. Het Europees Parlement en Europa worden bedankt voor de bijdrage die ze leveren aan de ontwikkeling van het democratisch leven in ons land. ","Mario Mauro,",2,138,not_available,"['ita', 'ita']","['  Mario Mauro,  namens de PPE-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, ook namens mijn fractie zou ik niet voor de vorm maar recht uit mijn hart op de allereerste plaats u willen danken. U heeft met de kwalificatie “onwaardig” op gepaste wijze beschreven wat er is gebeurd. Maar zo mogelijk zou ik nog hartelijker de Italiaanse collega’s, in het bijzonder de heer Pittella, willen danken voor hun woorden.', 'Ik heb geen enkele behoefte aan politieke speculatie, maar wat er is gebeurd kan ons tot aan de rand van de afgrond brengen. De oproep die hier in het Parlement eensluidend is gedaan, is het enige wat ons kan leiden op dit moeilijke moment. Het Europees Parlement en Europa worden bedankt voor de bijdrage die ze leveren aan de ontwikkeling van het democratisch leven in ons land. ']"
7, 12. Regeling van de werkzaamheden,  De Voorzitter.   – Aan de orde is de definitieve ontwerpagenda die door de Conferentie van voorzitters is opgesteld overeenkomstig artikel 137 van het Reglement tijdens haar vergadering van 10 december. De volgende wijzigingen zijn voorgesteld:Met betrekking tot de maandag – geen wijzigingenMet betrekking tot de dinsdagIk heb een verzoek ontvangen van de Fractie Europa van Vrijheid en Democratie om een mondelinge vraag aan de Commissie op de agenda te plaatsen over het subsidiariteitsbeginsel. Het betrof een schriftelijk verzoek dat is ingediend bij het Bureau van het Europees Parlement. Ik verzoek een afgevaardigde van de EFD-Fractie hier iets over te zeggen. ,De Voorzitter.,4,100,not_available,"['dut', 'dut', 'dut', 'dut']","['  De Voorzitter.   – Aan de orde is de definitieve ontwerpagenda die door de Conferentie van voorzitters is opgesteld overeenkomstig artikel 137 van het Reglement tijdens haar vergadering van 10 december. De volgende wijzigingen zijn voorgesteld:', 'Met betrekking tot de maandag – geen wijzigingen', 'Met betrekking tot de dinsdag', 'Ik heb een verzoek ontvangen van de Fractie Europa van Vrijheid en Democratie om een mondelinge vraag aan de Commissie op de agenda te plaatsen over het subsidiariteitsbeginsel. Het betrof een schriftelijk verzoek dat is ingediend bij het Bureau van het Europees Parlement. Ik verzoek een afgevaardigde van de EFD-Fractie hier iets over te zeggen. ']"
8, 12. Regeling van de werkzaamheden,"  Francesco Enrico Speroni,  namens de EFD-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, wij hebben gevraagd deze mondelinge vraag op de agenda te plaatsen, daar we menen dat het Parlement recht heeft op een passend antwoord bij dit belangrijke onderwerp. Daarom verzoeken wij de agenda te wijzigen. ","Francesco Enrico Speroni,",1,48,not_available,['ita'],"['  Francesco Enrico Speroni,  namens de EFD-Fractie. – (IT) Mijnheer de Voorzitter, geachte collega’s, wij hebben gevraagd deze mondelinge vraag op de agenda te plaatsen, daar we menen dat het Parlement recht heeft op een passend antwoord bij dit belangrijke onderwerp. Daarom verzoeken wij de agenda te wijzigen. ']"
9, 12. Regeling van de werkzaamheden,"  De Voorzitter.   – Dames en heren, ik wil u erop wijzen dat dit punt als laatste agendapunt aan de agenda voor dinsdagavond wordt toegevoegd. De termijn voor de indiening van ontwerpresoluties is dinsdag 15 december om 10.00 uur, de termijn voor de indiening van gezamenlijke ontwerpresoluties en amendementen is woensdag 16 december om 10.00 uur, en de stemming vindt op donderdag plaats. Dus: morgen als laatste punt, ontwerpresoluties uiterlijk woensdag en donderdag de stemming. ",De Voorzitter.,1,75,not_available,['dut'],"['  De Voorzitter.   – Dames en heren, ik wil u erop wijzen dat dit punt als laatste agendapunt aan de agenda voor dinsdagavond wordt toegevoegd. De termijn voor de indiening van ontwerpresoluties is dinsdag 15 december om 10.00 uur, de termijn voor de indiening van gezamenlijke ontwerpresoluties en amendementen is woensdag 16 december om 10.00 uur, en de stemming vindt op donderdag plaats. Dus: morgen als laatste punt, ontwerpresoluties uiterlijk woensdag en donderdag de stemming. ']"
