,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Reinício da sessão,PRESIDÊNCIA: BUZEK Presidente (A sessão tem início às 17H00) ,PRESIDÊNCIA: BUZEK,2,9,not_available,"['por', 'por']","['PRESIDÊNCIA: BUZEK Presidente', ' (A sessão tem início às 17H00) ']"
1, 1. Reinício da sessão,"  Presidente.   - Declaro reaberta a sessão do Parlamento Europeu, que tinha sido interrompida na quinta-feira, 17  de Dezembro de 2009. ",Presidente.,1,20,not_available,['por'],"['  Presidente.   - Declaro reaberta a sessão do Parlamento Europeu, que tinha sido interrompida na quinta-feira, 17  de Dezembro de 2009. ']"
2, 2. Declarações da Presidência.,"  Presidente.   - É com grande tristeza que informo que Pilar Juárez Boal, vice-presidente da delegação da União Europeia ao Haiti, continua infelizmente desaparecida. Prosseguem as buscas para encontrar Pilar Juárez Boal. Trabalhava no Parlamento Europeu. Hoje, a nação haitiana, assolada pela enorme tragédia do terramoto, está presente nos pensamentos de cada um de nós. Diversos países da Europa, bem como a União Europeia no seu todo, prometeram ajudas financeiras substanciais ao Haiti, juntamente com um contingente de 150 agentes da polícia da Eurogendfor (European Gendarmerie Force). Estão também no terreno equipas enviadas por países da UE. Este é o pior desastre da história do Haiti e uma das piores catástrofes da história da humanidade. Além disso, muitos concidadãos nossos, cidadãos da Europa, ali morreram e muitos outros encontram-se desaparecidos. Gostaria que homenageássemos as vítimas desta catástrofe inimaginável com um minuto de silêncio. Agradeço que se levantem.Foi também com grande tristeza que recebi a notícia da execução do cidadão britânico Akmal Shaikh, na China. É uma das quase 7 000 pessoas que todos os anos são executadas naquele país. É também o primeiro cidadão da União Europeia a ser executado na China desde 1951. O Parlamento Europeu condena e sempre condenou a pena de morte, e prosseguirá os seus esforços no sentido de conseguir estabelecer uma moratória sobre as execuções.Ontem, na Ucrânia, teve lugar a primeira volta das eleições presidenciais. Estavam presentes os representantes do Parlamento Europeu enviados como observadores das eleições. Ainda não recebemos informações oficiais sobre o decorrer das eleições. Os nossos colegas ainda não nos enviaram informações oficiais, mas estamos à espera de receber notícias a qualquer momento. Contamos que esta ausência de notícias signifique que as eleições foram conduzidas de forma justa e que o mesmo acontecerá na segunda volta, que terá lugar no princípio de Fevereiro.No dia 1 de Janeiro, a Espanha assumiu a Presidência do Conselho da União Europeia. Estou certo de que, com o novo Tratado e em cooperação com o novo Presidente do Conselho, a Presidência espanhola será um êxito e conseguirá alcançar os objectivos que se propôs. No programa da nossa sessão, temos uma reunião com o Primeiro-Ministro José Luis Zapatero, e iremos falar sobre a troika. Portanto, não iremos falar apenas sobre a Espanha, mas também sobre a Bélgica e a Hungria.Senhoras e Senhores Deputados, permitam-me que, por último, expresse os meus mais sinceros votos de que 2010 venha a ser um ano de prosperidade e êxito. Que o início desta nova década nos inspire a todos a trabalhar com afinco em nome dos nossos cidadãos. Conforme afirmei na semana passada em Bruxelas - ano novo, Tratado novo e uma nova era para a União Europeia. O nosso Parlamento tem uma responsabilidade especial em relação ao futuro da União Europeia. Estamos todos cientes disso. ",Presidente.,5,469,not_available,"['por', 'por', 'por', 'por', 'por']","['  Presidente.   - É com grande tristeza que informo que Pilar Juárez Boal, vice-presidente da delegação da União Europeia ao Haiti, continua infelizmente desaparecida. Prosseguem as buscas para encontrar Pilar Juárez Boal. Trabalhava no Parlamento Europeu. Hoje, a nação haitiana, assolada pela enorme tragédia do terramoto, está presente nos pensamentos de cada um de nós. Diversos países da Europa, bem como a União Europeia no seu todo, prometeram ajudas financeiras substanciais ao Haiti, juntamente com um contingente de 150 agentes da polícia da Eurogendfor (European Gendarmerie Force). Estão também no terreno equipas enviadas por países da UE. Este é o pior desastre da história do Haiti e uma das piores catástrofes da história da humanidade. Além disso, muitos concidadãos nossos, cidadãos da Europa, ali morreram e muitos outros encontram-se desaparecidos. Gostaria que homenageássemos as vítimas desta catástrofe inimaginável com um minuto de silêncio. Agradeço que se levantem.', 'Foi também com grande tristeza que recebi a notícia da execução do cidadão britânico Akmal Shaikh, na China. É uma das quase 7 000 pessoas que todos os anos são executadas naquele país. É também o primeiro cidadão da União Europeia a ser executado na China desde 1951. O Parlamento Europeu condena e sempre condenou a pena de morte, e prosseguirá os seus esforços no sentido de conseguir estabelecer uma moratória sobre as execuções.', 'Ontem, na Ucrânia, teve lugar a primeira volta das eleições presidenciais. Estavam presentes os representantes do Parlamento Europeu enviados como observadores das eleições. Ainda não recebemos informações oficiais sobre o decorrer das eleições. Os nossos colegas ainda não nos enviaram informações oficiais, mas estamos à espera de receber notícias a qualquer momento. Contamos que esta ausência de notícias signifique que as eleições foram conduzidas de forma justa e que o mesmo acontecerá na segunda volta, que terá lugar no princípio de Fevereiro.', 'No dia 1 de Janeiro, a Espanha assumiu a Presidência do Conselho da União Europeia. Estou certo de que, com o novo Tratado e em cooperação com o novo Presidente do Conselho, a Presidência espanhola será um êxito e conseguirá alcançar os objectivos que se propôs. No programa da nossa sessão, temos uma reunião com o Primeiro-Ministro José Luis Zapatero, e iremos falar sobre a troika. Portanto, não iremos falar apenas sobre a Espanha, mas também sobre a Bélgica e a Hungria.', 'Senhoras e Senhores Deputados, permitam-me que, por último, expresse os meus mais sinceros votos de que 2010 venha a ser um ano de prosperidade e êxito. Que o início desta nova década nos inspire a todos a trabalhar com afinco em nome dos nossos cidadãos. Conforme afirmei na semana passada em Bruxelas - ano novo, Tratado novo e uma nova era para a União Europeia. O nosso Parlamento tem uma responsabilidade especial em relação ao futuro da União Europeia. Estamos todos cientes disso. ']"
3, 11. Ordem dos trabalhos,"  Presidente.   - O projecto definitivo da ordem do dia, elaborado pela Conferência dos Presidentes na sua reunião de quinta-feira, 14 de Janeiro de 2010, nos termos do artigo 137.º do Regimento, foi distribuído. Foram propostas as seguintes alterações:Terça-feira:Recebi um pedido do Grupo da Aliança Progressista dos Socialistas e Democratas no Parlamento Europeu para encerrar o debate sobre o Haiti com a apresentação de propostas de resolução, a serem votadas na primeira sessão do mês de Fevereiro. ",Presidente.,3,80,not_available,"['por', 'por', 'por']","['  Presidente.   - O projecto definitivo da ordem do dia, elaborado pela Conferência dos Presidentes na sua reunião de quinta-feira, 14 de Janeiro de 2010, nos termos do artigo 137.º do Regimento, foi distribuído. Foram propostas as seguintes alterações:', 'Terça-feira:', 'Recebi um pedido do Grupo da Aliança Progressista dos Socialistas e Democratas no Parlamento Europeu para encerrar o debate sobre o Haiti com a apresentação de propostas de resolução, a serem votadas na primeira sessão do mês de Fevereiro. ']"
4, 11. Ordem dos trabalhos,"  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, naturalmente, também a si desejamos tudo de bom para o Ano Novo.Gostaria de saber se voltará ao assunto da resolução sobre o Haiti. Gostaríamos de apresentar uma resolução sobre o Haiti que deverá, a qualquer custo, ser votada no mês de Fevereiro. ","Hannes Swoboda,",2,54,not_available,"['ger', 'ger']","['  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, naturalmente, também a si desejamos tudo de bom para o Ano Novo.', 'Gostaria de saber se voltará ao assunto da resolução sobre o Haiti. Gostaríamos de apresentar uma resolução sobre o Haiti que deverá, a qualquer custo, ser votada no mês de Fevereiro. ']"
5, 11. Ordem dos trabalhos,"  Francesco Enrico Speroni,  em nome do Grupo EFD. - (IT) Senhor Presidente, Senhoras e Senhores Deputados, existem duas razões a favor: primeiro, a importância do assunto - acho um tanto estranho que o Parlamento se recuse a votar. Todos têm a sua própria opinião, todos podem pensar da maneira que quiserem, mas enquanto Parlamento, creio que temos o dever de opinar sobre este assunto da maneira que cada um de nós entender.Em segundo lugar, esta Assembleia já solicitou e votou a inclusão deste item nos assuntos a serem votados, adiando-o de Dezembro para Janeiro. Penso que a Mesa, ou melhor, a Conferência dos Presidentes, não deveria ter contrariado uma decisão precisa e oportuna do Parlamento, de modo que acho que a Assembleia deveria expressar em breve as suas opiniões sobre este assunto.","Francesco Enrico Speroni,",2,132,not_available,"['ita', 'ita']","['  Francesco Enrico Speroni,  em nome do Grupo EFD. - (IT) Senhor Presidente, Senhoras e Senhores Deputados, existem duas razões a favor: primeiro, a importância do assunto - acho um tanto estranho que o Parlamento se recuse a votar. Todos têm a sua própria opinião, todos podem pensar da maneira que quiserem, mas enquanto Parlamento, creio que temos o dever de opinar sobre este assunto da maneira que cada um de nós entender.', 'Em segundo lugar, esta Assembleia já solicitou e votou a inclusão deste item nos assuntos a serem votados, adiando-o de Dezembro para Janeiro. Penso que a Mesa, ou melhor, a Conferência dos Presidentes, não deveria ter contrariado uma decisão precisa e oportuna do Parlamento, de modo que acho que a Assembleia deveria expressar em breve as suas opiniões sobre este assunto.']"
6, 11. Ordem dos trabalhos,"  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, estes debates têm sido muito acalorados. Vimos que há de facto opiniões muito divergentes em relação a estas conclusões de um tribunal que não é um tribunal da UE. Não devemos agora voltar a debater este tema tão sério, trata-se de um debate que nos divide mais do que nos une. Devemos deixar o assunto em paz. Tivemos opiniões diferentes, ainda temos divergências, e é por isso que não devemos voltar ao tema e tentar chegar a uma nova resolução. ","Hannes Swoboda,",1,92,not_available,['ger'],"['  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, estes debates têm sido muito acalorados. Vimos que há de facto opiniões muito divergentes em relação a estas conclusões de um tribunal que não é um tribunal da UE. Não devemos agora voltar a debater este tema tão sério, trata-se de um debate que nos divide mais do que nos une. Devemos deixar o assunto em paz. Tivemos opiniões diferentes, ainda temos divergências, e é por isso que não devemos voltar ao tema e tentar chegar a uma nova resolução. ']"
7, 11. Ordem dos trabalhos,"  Mario Mauro,  em nome do Grupo PPE. - (IT) Senhor Presidente, Senhoras e Senhores Deputados, gostaria apenas de pedir aos meus colegas deputados que mantenham este tema na ordem do dia: o massacre dos cristãos coptas no dia, ou melhor, na véspera do Natal copta e os numerosos assassínios de cristãos na Malásia são sinais de um problema muito claro: o da liberdade religiosa nesses países.Por si só, a resolução não é uma iniciativa dirigida contra governos específicos, mas uma maneira de salientar o facto de a liberdade religiosa ser um dos alicerces da nossa harmonia civil, e é portanto correcto que o Parlamento expresse as suas opiniões sobre este assunto. ","Mario Mauro,",2,111,not_available,"['ita', 'ita']","['  Mario Mauro,  em nome do Grupo PPE. - (IT) Senhor Presidente, Senhoras e Senhores Deputados, gostaria apenas de pedir aos meus colegas deputados que mantenham este tema na ordem do dia: o massacre dos cristãos coptas no dia, ou melhor, na véspera do Natal copta e os numerosos assassínios de cristãos na Malásia são sinais de um problema muito claro: o da liberdade religiosa nesses países.', 'Por si só, a resolução não é uma iniciativa dirigida contra governos específicos, mas uma maneira de salientar o facto de a liberdade religiosa ser um dos alicerces da nossa harmonia civil, e é portanto correcto que o Parlamento expresse as suas opiniões sobre este assunto. ']"
8, 11. Ordem dos trabalhos,"  Ioannis Kasoulides,  em nome do Grupo PPE. - (EN) Senhor Presidente, gostaríamos de solicitar que o debate sobre as relações entre a Tunísia e a União Europeia seja adiado até ao período de sessões de Fevereiro, já que, até lá, haverá uma reunião da Subcomissão dos Direitos do Homem sobre as relações entre a União Europeia e a Tunísia e talvez disponhamos de novos elementos para trazer para o debate. ","Ioannis Kasoulides,",1,69,not_available,['eng'],"['  Ioannis Kasoulides,  em nome do Grupo PPE. - (EN) Senhor Presidente, gostaríamos de solicitar que o debate sobre as relações entre a Tunísia e a União Europeia seja adiado até ao período de sessões de Fevereiro, já que, até lá, haverá uma reunião da Subcomissão dos Direitos do Homem sobre as relações entre a União Europeia e a Tunísia e talvez disponhamos de novos elementos para trazer para o debate. ']"
9, 11. Ordem dos trabalhos,"  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, a intenção não é chegarmos agora a uma resolução. É bom que tenhamos discutido o assunto, mas sem chegar a uma resolução. Também sou da opinião de que, se o fizermos, devemos redigir esta resolução somente após essa visita. O debate, no entanto, deve com certeza acontecer agora, para que os deputados que visitarem aquele país possam levar consigo um pouco do que se pensa nesta Assembleia. ","Hannes Swoboda,",1,78,not_available,['ger'],"['  Hannes Swoboda,  em nome do Grupo S&D. - (DE) Senhor Presidente, a intenção não é chegarmos agora a uma resolução. É bom que tenhamos discutido o assunto, mas sem chegar a uma resolução. Também sou da opinião de que, se o fizermos, devemos redigir esta resolução somente após essa visita. O debate, no entanto, deve com certeza acontecer agora, para que os deputados que visitarem aquele país possam levar consigo um pouco do que se pensa nesta Assembleia. ']"
