,agenda_item,text,speaker,number_p,number_w,chair,language_ps,ps
0, 1. Otvoritev seje,PREDSEDSTVO: GOSPOD ONESTA podpredsednik,PREDSEDSTVO: GOSPOD ONESTA,1,4,not_available,['slv'],['PREDSEDSTVO: GOSPOD ONESTA podpredsednik']
1, 1. Otvoritev seje,"  Daniel Hannan  (NI).   – Gospod predsednik, od našega zadnjega srečanja so bila objavljena poročila o sestanku voditeljev političnih skupin in predsednika Češke republike, na katerem so nekateri voditelji skupin pokazali nespoštljivost in neolikanost, ki sta po mojem mnenju sramotna za vse nas. Želel bi vedeti, ali bi hoteli to priložnost izkoristiti za to, da kot današnji podpredsednik potrdite, da ta Parlament ceni vsa mnenja bodisi za Lizbonsko pogodbo ali proti njej in da spoštujemo visoki položaj te službe Češke republike. ",Daniel Hannan  (NI).,1,79,not_available,['slv'],"['  Daniel Hannan  (NI).   – Gospod predsednik, od našega zadnjega srečanja so bila objavljena poročila o sestanku voditeljev političnih skupin in predsednika Češke republike, na katerem so nekateri voditelji skupin pokazali nespoštljivost in neolikanost, ki sta po mojem mnenju sramotna za vse nas. Želel bi vedeti, ali bi hoteli to priložnost izkoristiti za to, da kot današnji podpredsednik potrdite, da ta Parlament ceni vsa mnenja bodisi za Lizbonsko pogodbo ali proti njej in da spoštujemo visoki položaj te službe Češke republike. ']"
2, 1. Otvoritev seje,"  Predsednik.   – Ni moja stvar, gospod Hannan, da karkoli potrdim, opomnil pa bi vas tudi, da Parlament trenutno ne razpravlja o tej temi. Vendar pa sem prepričan, da se boste ob primernem času oglasili in na zagovor glede te zadeve poklicali pristojne organe. ",Predsednik.,1,42,not_available,['slv'],"['  Predsednik.   – Ni moja stvar, gospod Hannan, da karkoli potrdim, opomnil pa bi vas tudi, da Parlament trenutno ne razpravlja o tej temi. Vendar pa sem prepričan, da se boste ob primernem času oglasili in na zagovor glede te zadeve poklicali pristojne organe. ']"
3, 3. Čas glasovanja,  Predsednik.   – Naslednja točka je glasovanje.(Za podrobnosti o izidu glasovanja: glej zapisnik) ,Predsednik.,2,12,not_available,"['slv', 'slv']","['  Predsednik.   – Naslednja točka je glasovanje.', '(Za podrobnosti o izidu glasovanja: glej zapisnik) ']"
4," 3.17. Prilagoditev nekaterih aktov Sklepu Sveta 1999/468/ES, kakor je bil spremenjen s Sklepom 2006/512/ES - Prilagoditev regulativnemu postopku s pregledom (četrti del) (A6-0301/2008, József Szájer) (glasovanje) ",– Pred glasovanjem,unknown,1,2,not_available,['slv'],['– Pred glasovanjem']
5," 3.17. Prilagoditev nekaterih aktov Sklepu Sveta 1999/468/ES, kakor je bil spremenjen s Sklepom 2006/512/ES - Prilagoditev regulativnemu postopku s pregledom (četrti del) (A6-0301/2008, József Szájer) (glasovanje) ","  Margot Wallström  , podpredsednica Komisije. − Gospod predsednik, Komisija pozdravlja sporazum, dosežen na prvi obravnavi, o zadnjem izmed naših štirih predlogov o prilagoditvi obstoječih zakonodajnih aktov v novem komitološkem postopku s pregledom.V okviru tega sporazuma bi Komisija rada podala dve izjavi, katerih besedilo bom predala vašim službam, da ju vključijo v zapisnik te seje.Prva izjava zadeva zavezo Komisije v zvezi s prenosom osnutka ukrepov Evropskemu parlamentu, ko so roki skrajšani, druga izjava pa se nanaša na uporabo regulativnega postopka s pregledom v zvezi s postopkovnimi pravili za posodobitev črnih seznamov Skupnosti o letalskih prevoznikih, za katere velja prepoved opravljanja letov. , podpredsednica Komisije. −Izjavi KomisijePrenos osnutka ukrepov Evropskemu parlamentuRoki, v katerih lahko Evropski parlament in Svet v skladu s členom 5a(3)(c) Sklepom Sveta 1999/468/ES nasprotujeta osnutku ukrepa, so bili v nekaterih določbah naslednjih osnovnih aktov skrajšani na štiri tedne ali en mesec: Direktiva 2004/17/ES, Direktiva 2004/18/ES in Uredba (ES) št. 2111/2005. Pri prenosu osnutka ukrepov Evropskemu parlamentu in Svetu ob uporabi teh določb, se Komisija zaveže, razen v obdobju počitnic Evropskega parlamenta, da bo upoštevala potrebo, da ima Evropski parlament plenarno zasedanje pred potekom zadevnih skrajšanih rokov, in poudarja svojo zavezanost v skladu s Sporazumom med Evropskim parlamentom in Komisijo o postopkih za izvedbo Sklepa Sveta 1999/468/ES o določitvi postopkov za uresničevanje Komisiji podeljenih izvedbenih pooblastil, kakor je bil spremenjen s Sklepom 2006/512/ES, predvsem glede sistema zgodnjega opozarjanja, predvidenega v odstavku 16. , podpredsednica Komisije. −(FR) Uporaba regulativnega postopkaKomisija z obžalovanjem poudarja odločitev o uporabi regulativnega postopka s pregledom za člen 8(1) Uredbe (ES) št. 2111/2005. V zvezi s tem bi rada izpostavila, da so izvedbeni ukrepi, navedeni v tem členu, po naravi postopkovni in upravni ter predvidevajo podrobnosti pravil, ki so že določena v osnovnem aktu. Komisija želi ponoviti, kako pomembno je zagotoviti najvišjo možno raven varnosti v letalstvu. Uporablja stroga, mednarodno priznana merila, ki se jih objektivno uporablja, da se doseže ta cilj; to je bilo vedno tako, ko je bil posodobljen črni seznam, odkar je začela veljati Uredba (ES) št. 2111/2005. Po mnenju Komisije mora delo na tej zadevi še naprej temeljiti izključno na tehničnih merilih, zato je prepričana, da morajo postopkovna pravila v vsakem primeru še naprej zagotavljati visoko raven varnosti in učinkovitosti. ",Margot Wallström,8,381,not_available,"['slv', 'slv', 'slv', 'slv', 'slv', 'slv', 'fra', 'fra']","['  Margot Wallström  , podpredsednica Komisije. − Gospod predsednik, Komisija pozdravlja sporazum, dosežen na prvi obravnavi, o zadnjem izmed naših štirih predlogov o prilagoditvi obstoječih zakonodajnih aktov v novem komitološkem postopku s pregledom.', 'V okviru tega sporazuma bi Komisija rada podala dve izjavi, katerih besedilo bom predala vašim službam, da ju vključijo v zapisnik te seje.', 'Prva izjava zadeva zavezo Komisije v zvezi s prenosom osnutka ukrepov Evropskemu parlamentu, ko so roki skrajšani, druga izjava pa se nanaša na uporabo regulativnega postopka s pregledom v zvezi s postopkovnimi pravili za posodobitev črnih seznamov Skupnosti o letalskih prevoznikih, za katere velja prepoved opravljanja letov. ', ', podpredsednica Komisije. −Izjavi Komisije', 'Prenos osnutka ukrepov Evropskemu parlamentu', 'Roki, v katerih lahko Evropski parlament in Svet v skladu s členom 5a(3)(c) Sklepom Sveta 1999/468/ES nasprotujeta osnutku ukrepa, so bili v nekaterih določbah naslednjih osnovnih aktov skrajšani na štiri tedne ali en mesec: Direktiva 2004/17/ES, Direktiva 2004/18/ES in Uredba (ES) št. 2111/2005. Pri prenosu osnutka ukrepov Evropskemu parlamentu in Svetu ob uporabi teh določb, se Komisija zaveže, razen v obdobju počitnic Evropskega parlamenta, da bo upoštevala potrebo, da ima Evropski parlament plenarno zasedanje pred potekom zadevnih skrajšanih rokov, in poudarja svojo zavezanost v skladu s Sporazumom med Evropskim parlamentom in Komisijo o postopkih za izvedbo Sklepa Sveta 1999/468/ES o določitvi postopkov za uresničevanje Komisiji podeljenih izvedbenih pooblastil, kakor je bil spremenjen s Sklepom 2006/512/ES, predvsem glede sistema zgodnjega opozarjanja, predvidenega v odstavku 16. ', ', podpredsednica Komisije. −(FR) Uporaba regulativnega postopka', 'Komisija z obžalovanjem poudarja odločitev o uporabi regulativnega postopka s pregledom za člen 8(1) Uredbe (ES) št. 2111/2005. V zvezi s tem bi rada izpostavila, da so izvedbeni ukrepi, navedeni v tem členu, po naravi postopkovni in upravni ter predvidevajo podrobnosti pravil, ki so že določena v osnovnem aktu. Komisija želi ponoviti, kako pomembno je zagotoviti najvišjo možno raven varnosti v letalstvu. Uporablja stroga, mednarodno priznana merila, ki se jih objektivno uporablja, da se doseže ta cilj; to je bilo vedno tako, ko je bil posodobljen črni seznam, odkar je začela veljati Uredba (ES) št. 2111/2005. Po mnenju Komisije mora delo na tej zadevi še naprej temeljiti izključno na tehničnih merilih, zato je prepričana, da morajo postopkovna pravila v vsakem primeru še naprej zagotavljati visoko raven varnosti in učinkovitosti. ']"
6," 3.19. Evropski svet delavcev (prenovitev) (A6-0454/2008, Philip Bushill-Matthews) (glasovanje) ",– Pred glasovanjem,unknown,1,2,not_available,['slv'],['– Pred glasovanjem']
7," 3.19. Evropski svet delavcev (prenovitev) (A6-0454/2008, Philip Bushill-Matthews) (glasovanje) ","  Philip Bushill-Matthews,  poročevalec. − Gospod predsednik, na kratko bi omenil nekaj, kar je zelo pomembno načelo. Odbor je v trialogu pripravil sporazum, ki bi moral v skladu z voljo Parlamenta sprejet. Ni slab sporazum, vendar pa je sprožil pomembno vprašanje načela glede prihodnjih dokumentov, za katerega menim, da ga moram predstaviti predsedstvuPomembno je, da se zavedamo, da poročevalec, ko je imenovan, ni imenovan samo za poročevalca odbora, ampak celotnega Parlamenta. Ker je Svet hotel imeti trialog in so pravila odbora to dovoljevala, naj bi na moje presenečenje resnično potekal trialog, po potrebi brez poročevalca, če ne bi podprl nadaljevanja.Po mojem mnenju bi moralo biti Parlamentu, če naj bo poročevalec tudi poročevalec Parlamenta, omogočeno, da izrazi svoje celotno mnenje o poročilu, preden se zaveže trialogu. Imenuje se demokracija, zamisel pa predlagam predsedstvu.(Aplavz) ","Philip Bushill-Matthews,",4,133,not_available,"['slv', 'slv', 'slv', 'slv']","['  Philip Bushill-Matthews,  poročevalec. − Gospod predsednik, na kratko bi omenil nekaj, kar je zelo pomembno načelo. Odbor je v trialogu pripravil sporazum, ki bi moral v skladu z voljo Parlamenta sprejet. Ni slab sporazum, vendar pa je sprožil pomembno vprašanje načela glede prihodnjih dokumentov, za katerega menim, da ga moram predstaviti predsedstvu', 'Pomembno je, da se zavedamo, da poročevalec, ko je imenovan, ni imenovan samo za poročevalca odbora, ampak celotnega Parlamenta. Ker je Svet hotel imeti trialog in so pravila odbora to dovoljevala, naj bi na moje presenečenje resnično potekal trialog, po potrebi brez poročevalca, če ne bi podprl nadaljevanja.', 'Po mojem mnenju bi moralo biti Parlamentu, če naj bo poročevalec tudi poročevalec Parlamenta, omogočeno, da izrazi svoje celotno mnenje o poročilu, preden se zaveže trialogu. Imenuje se demokracija, zamisel pa predlagam predsedstvu.', '(Aplavz) ']"
8," 3.23. Pogoji za zaposlitev drugih uslužbencev Evropskih skupnosti (A6-0483/2008, Giuseppe Gargani) (glasovanje) ","– Pred glasovanjem (ustni predlogi sprememb k spremembam 62, 65 in 75) ",unknown,1,11,not_available,['slv'],"['– Pred glasovanjem (ustni predlogi sprememb k spremembam 62, 65 in 75) ']"
9," 3.23. Pogoji za zaposlitev drugih uslužbencev Evropskih skupnosti (A6-0483/2008, Giuseppe Gargani) (glasovanje) ","  Giuseppe Gargani,  poročevalec. – (IT) Gospod predsednik, gospe in gospodje, kot poročevalec bi rad podal tri ustne predloge sprememb: k spremembi 62 – na seznamu glasovanja, če lahko sledite – glede uvodne izjave 12 predlagam, da se izbriše celotni vrinjeni stavek od „letni zneski“ do „letni proračun“.K spremembi 65 na seznamu glasovanja glede uvodne izjave 12c predlagam, da se med besede „parlamentarni pomoči“ in „se krijejo vsi stroški“ vstavi naslednji vrinjeni stavek: „katerih letni zneski bodo določeni v okviru letnega proračunskega postopka“.K spremembi 75, ki zadeva člen 131, je moj ustni predlog spremembe, da se doda besedo „transparenten“ k besedama „okvir razvrstitve“, da se glasi „transparentni okvir razvrstitve“.To so ustni predlogi sprememb, ki jih Parlamentu podajam kot poročevalec. Upam, da bodo sprejeti. ","Giuseppe Gargani,",4,122,not_available,"['ita', 'ita', 'ita', 'ita']","['  Giuseppe Gargani,  poročevalec. – (IT) Gospod predsednik, gospe in gospodje, kot poročevalec bi rad podal tri ustne predloge sprememb: k spremembi 62 – na seznamu glasovanja, če lahko sledite – glede uvodne izjave 12 predlagam, da se izbriše celotni vrinjeni stavek od „letni zneski“ do „letni proračun“.', 'K spremembi 65 na seznamu glasovanja glede uvodne izjave 12c predlagam, da se med besede „parlamentarni pomoči“ in „se krijejo vsi stroški“ vstavi naslednji vrinjeni stavek: „katerih letni zneski bodo določeni v okviru letnega proračunskega postopka“.', 'K spremembi 75, ki zadeva člen 131, je moj ustni predlog spremembe, da se doda besedo „transparenten“ k besedama „okvir razvrstitve“, da se glasi „transparentni okvir razvrstitve“.', 'To so ustni predlogi sprememb, ki jih Parlamentu podajam kot poročevalec. Upam, da bodo sprejeti. ']"
