,2008-09-01,2008-09-02,2008-09-03,2008-09-04,2008-09-22,2008-09-23,2008-09-24,2008-09-25,2008-10-08,2008-10-09,2008-10-20,2008-10-21,2008-10-22,2008-10-23,2008-11-17,2008-11-18,2008-11-19,2008-11-20,2008-12-03,2008-12-04,2008-12-15,2008-12-16,2008-12-17,2008-12-18,2009-01-13,2009-01-14,2009-01-15,2009-02-02,2009-02-03,2009-02-04,2009-02-05,2009-02-18,2009-02-19,2009-03-09,2009-03-10,2009-03-11,2009-03-12,2009-03-23,2009-03-24,2009-03-25,2009-03-26,2009-04-01,2009-04-02,2009-04-21,2009-04-22,2009-04-23,2009-04-24,2009-05-04,2009-05-05,2009-05-06,2009-05-07,2009-07-14,2009-07-15,2009-07-16,2009-09-14,2009-09-15,2009-09-16,2009-09-17,2009-10-07,2009-10-08,2009-10-19,2009-10-20,2009-10-21,2009-10-22,2009-11-11,2009-11-12,2009-11-23,2009-11-24,2009-11-25,2009-11-26,2009-12-14,2009-12-15,2009-12-16,2009-12-17,2010-01-18,2010-01-19,2010-01-20,2010-01-21,2010-02-08,2010-02-09,2010-02-10,2010-02-11,2010-02-24,2010-02-25,2010-03-08,2010-03-09,2010-03-10,2010-03-11,2010-03-24,2010-03-25,2010-04-07,2010-04-19,2010-04-20,2010-04-21,2010-05-05,2010-05-06,2010-05-17
BG,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,375,219,308,277,214,510,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,29,179,6,178,266,278,254,247,151,114,425,308,227,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
CS,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,374,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,277,254,247,151,114,425,308,226,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
DA,212,399,398,217,192,403,393,184,274,256,243,494,446,190,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,270,254,247,151,114,425,308,227,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,251,202,530,435,215,293,282,70,224,406,174,662,249,181
DE,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,376,219,308,277,214,513,458,288,185,493,411,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,278,254,247,151,114,425,309,227,289,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
EL,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,478,245,390,482,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,278,254,247,151,114,425,308,227,288,145,166,469,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
EN,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,278,254,247,151,114,425,308,226,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
ES,212,399,397,217,192,403,394,184,274,259,243,495,446,191,194,403,394,250,271,202,235,477,478,245,390,482,199,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,398,457,229,28,179,6,178,266,278,254,247,151,114,425,309,227,288,145,166,468,462,253,202,359,296,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
ET,212,399,398,217,192,403,395,185,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,483,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,457,229,28,179,6,178,266,278,253,247,151,114,425,309,227,288,145,166,468,462,253,202,360,295,235,51,238,406,120,204,345,670,226,331,259,202,529,435,215,293,282,70,224,406,174,662,249,181
FI,212,399,396,217,192,403,394,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,482,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,278,254,247,151,114,425,308,227,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
FR,212,399,398,217,192,403,395,184,274,256,243,494,446,191,194,403,394,250,271,202,235,477,477,245,390,483,200,202,479,375,219,308,277,214,511,458,288,185,493,410,198,272,268,227,445,447,188,207,399,459,229,28,179,6,178,266,278,254,247,151,114,425,308,227,288,145,166,468,462,253,202,359,295,235,51,238,408,120,204,345,670,226,331,259,202,530,435,215,293,282,70,224,406,174,662,249,181
